2.25.183.164     #AS47583   2.25.128.0/17      LT   AS-HOSTINGER - Hostinger International Limited, CY
3.14.86.234      #AS16509   3.14.0.0/15        US   AMAZON-02 - Amazon.com, Inc., US
3.16.213.130     #AS16509   3.16.0.0/14        US   AMAZON-02 - Amazon.com, Inc., US
3.23.59.18       #AS16509   3.20.0.0/14        US   AMAZON-02 - Amazon.com, Inc., US
3.83.16.103      #AS14618   3.80.0.0/12        US   AMAZON-AES - Amazon.com, Inc., US
3.83.233.56      #AS14618   3.80.0.0/12        US   AMAZON-AES - Amazon.com, Inc., US
3.85.190.121     #AS14618   3.80.0.0/12        US   AMAZON-AES - Amazon.com, Inc., US
3.86.114.186     #AS14618   3.80.0.0/12        US   AMAZON-AES - Amazon.com, Inc., US
3.86.230.159     #AS14618   3.80.0.0/12        US   AMAZON-AES - Amazon.com, Inc., US
3.89.113.104     #AS14618   3.80.0.0/12        US   AMAZON-AES - Amazon.com, Inc., US
3.93.163.167     #AS14618   3.80.0.0/12        US   AMAZON-AES - Amazon.com, Inc., US
3.94.186.181     #AS14618   3.80.0.0/12        US   AMAZON-AES - Amazon.com, Inc., US
3.137.148.99     #AS16509   3.136.0.0/13       US   AMAZON-02 - Amazon.com, Inc., US
3.142.170.60     #AS16509   3.136.0.0/13       US   AMAZON-02 - Amazon.com, Inc., US
3.142.219.55     #AS16509   3.136.0.0/13       US   AMAZON-02 - Amazon.com, Inc., US
3.144.239.16     #AS16509   3.144.0.0/13       US   AMAZON-02 - Amazon.com, Inc., US
3.208.27.95      #AS14618   3.208.0.0/12       US   AMAZON-AES - Amazon.com, Inc., US
4.182.216.202    #AS8075    4.176.0.0/12       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
5.61.209.43      #AS206264  5.61.209.0/24      SC   AMARUTU-TECHNOLOGY - Amarutu Technology Ltd, SC
13.86.113.74     #AS8075    13.64.0.0/11       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
13.211.217.77    #AS16509   13.210.0.0/15      US   AMAZON-02 - Amazon.com, Inc., US
13.218.231.196   #AS14618   13.216.0.0/13      US   AMAZON-AES - Amazon.com, Inc., US
13.219.1.233     #AS14618   13.216.0.0/13      US   AMAZON-AES - Amazon.com, Inc., US
13.220.108.213   #AS14618   13.216.0.0/13      US   AMAZON-AES - Amazon.com, Inc., US
13.222.228.146   #AS14618   13.216.0.0/13      US   AMAZON-AES - Amazon.com, Inc., US
