38.129.89.0/24 #AS273093 WISP-TECNOGER-CA WISP TECNOGER C.A., VE
38.183.212.0/22 #AS273093 WISP-TECNOGER-CA WISP TECNOGER C.A., VE
27.124.64.0/23 #AS151707 VORETX1-AS-IN Ethen Teleinfra Private Limited, IN
103.125.74.0/23 #AS151707 VORETX1-AS-IN Ethen Teleinfra Private Limited, IN
103.191.62.0/24 #AS151707 VORETX1-AS-IN Ethen Teleinfra Private Limited, IN
103.76.110.0/23 #AS136142 EFPL-AS-AP Enigma Fiber Pvt Ltd, PK
81.29.224.0/20 #AS34978 ASLINKWIRELESS Linkwireless srl, IT
185.52.8.0/22 #AS34978 ASLINKWIRELESS Linkwireless srl, IT
43.245.72.0/21 #AS132405 SUMMITINTERNET-AS-AP The Summit Group (Australia) Pty Ltd, AU
43.250.92.0/22 #AS132405 SUMMITINTERNET-AS-AP The Summit Group (Australia) Pty Ltd, AU
103.13.86.0/23 #AS132405 SUMMITINTERNET-AS-AP The Summit Group (Australia) Pty Ltd, AU
103.41.216.0/22 #AS132405 SUMMITINTERNET-AS-AP The Summit Group (Australia) Pty Ltd, AU
103.82.136.0/22 #AS132405 SUMMITINTERNET-AS-AP The Summit Group (Australia) Pty Ltd, AU
103.247.224.0/23 #AS132405 SUMMITINTERNET-AS-AP The Summit Group (Australia) Pty Ltd, AU
103.253.92.0/22 #AS132405 SUMMITINTERNET-AS-AP The Summit Group (Australia) Pty Ltd, AU
52.128.34.0/23 #AS394468 WAVE-WIRELESS-LLC Wave Wireless LLC, US
70.169.188.0/24 #AS394468 WAVE-WIRELESS-LLC Wave Wireless LLC, US
70.183.78.0/23 #AS394468 WAVE-WIRELESS-LLC Wave Wireless LLC, US
72.204.244.0/23 #AS394468 WAVE-WIRELESS-LLC Wave Wireless LLC, US
98.171.230.0/23 #AS394468 WAVE-WIRELESS-LLC Wave Wireless LLC, US
161.38.48.0/21 #AS394468 WAVE-WIRELESS-LLC Wave Wireless LLC, US
185.37.136.0/22 #AS49220 AIRIT-AS AirIT Services GmbH, DE
188.92.128.0/21 #AS49220 AIRIT-AS AirIT Services GmbH, DE
68.169.106.0/23 #AS14352 SSUITES-AS1 ERP Suites, US
74.121.168.0/22 #AS14352 SSUITES-AS1 ERP Suites, US
74.218.145.0/24 #AS14352 SSUITES-AS1 ERP Suites, US
192.96.18.0/24 #AS14352 SSUITES-AS1 ERP Suites, US
209.209.174.0/24 #AS14352 SSUITES-AS1 ERP Suites, US
69.59.192.0/19 #AS13868 PEAK-INTERNET Peak Internet, US
199.26.172.0/24 #AS13868 PEAK-INTERNET Peak Internet, US
