148.81.0.0/16 #AS1887 NASK-ACADEMIC, PL
195.187.64.0/18 #AS1887 NASK-ACADEMIC, PL
83.168.93.0/24 #AS2115 OPEGIEKA-, PL
91.223.68.0/24 #AS2115 OPEGIEKA-, PL
91.241.5.0/24 #AS2115 OPEGIEKA-, PL
78.133.144.0/22 #AS2590 DTP-AS, PL
85.219.244.0/22 #AS2590 DTP-AS, PL
89.174.32.0/23 #AS2590 DTP-AS, PL
89.174.229.0/24 #AS2590 DTP-AS, PL
185.125.124.0/22 #AS2590 DTP-AS, PL
45.10.139.0/24 #AS2821 PL-MAXNET-AS, PL
155.133.121.0/24 #AS2821 PL-MAXNET-AS, PL
185.101.128.0/24 #AS2821 PL-MAXNET-AS, PL
91.235.238.0/23 #AS3165 PTLANET-AS ul. Mlodziencza 3, PL
91.238.216.0/24 #AS3165 PTLANET-AS ul. Mlodziencza 3, PL
37.140.217.0/24 #AS3169 BRKNETWORKDEVICES, PL
91.238.52.0/22 #AS3169 BRKNETWORKDEVICES, PL
155.133.62.0/23 #AS3169 BRKNETWORKDEVICES, PL
156.67.123.0/24 #AS3169 BRKNETWORKDEVICES, PL
176.124.140.0/22 #AS3169 BRKNETWORKDEVICES, PL
185.60.231.0/24 #AS3169 BRKNETWORKDEVICES, PL
185.125.7.0/24 #AS3169 BRKNETWORKDEVICES, PL
185.216.50.0/24 #AS3169 BRKNETWORKDEVICES, PL
185.230.106.0/24 #AS3169 BRKNETWORKDEVICES, PL
185.253.234.0/24 #AS3169 BRKNETWORKDEVICES, PL
193.187.98.0/24 #AS3169 BRKNETWORKDEVICES, PL
195.22.117.0/24 #AS3169 BRKNETWORKDEVICES, PL
192.175.48.1/32 #AS5526 GENERACJAPL-WR-IX-EXCHANGE-POINT, PL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
153.19.0.0/16 #AS5550 TASK-AS Gdansk University of Technology, PL
185.113.32.0/23 #AS5582 SSPW-WL-AS, PL
185.182.224.0/22 #AS5582 SSPW-WL-AS, PL
212.110.128.0/24 #AS5593 UNITED-AS, PL
5.184.0.0/15 #AS5617 TPNET, PL
31.60.0.0/14 #AS5617 TPNET, PL
37.47.0.0/16 #AS5617 TPNET, PL
37.108.0.0/16 #AS5617 TPNET, PL
37.225.0.0/16 #AS5617 TPNET, PL
37.228.0.0/18 #AS5617 TPNET, PL
46.134.0.0/16 #AS5617 TPNET, PL
46.170.0.0/15 #AS5617 TPNET, PL
79.162.0.0/15 #AS5617 TPNET, PL
79.184.0.0/13 #AS5617 TPNET, PL
80.48.0.0/13 #AS5617 TPNET, PL
83.0.0.0/11 #AS5617 TPNET, PL
87.96.0.0/17 #AS5617 TPNET, PL
91.94.0.0/16 #AS5617 TPNET, PL
95.48.0.0/14 #AS5617 TPNET, PL
178.42.0.0/15 #AS5617 TPNET, PL
