185.133.136.0/24 #AS44055 GOCONTACT-ES Gotelecom S.A., PT
188.93.192.0/22 #AS215446 SPTELECOM Sousa Pinheiro Telecomunicacoes Lda, PT
216.146.31.0/24 #AS207731 DIAMWALL DIAMWALL LDA, PT
130.117.172.0/22 #AS50293 INTERFIBER-PT Interfiber Networks LDA, PT
193.39.195.0/24 #AS50293 INTERFIBER-PT Interfiber Networks LDA, PT
195.245.234.0/24 #AS28672 BPNNET-AS BANCO BIC PORTUGUES SA, PT
185.83.215.0/24 #AS210374 FINALSPACE Pedro Direito, PT
89.31.224.0/21 #AS47202 LAZER Lazer Telecomunicacoes S.A., PT
94.126.144.0/21 #AS47202 LAZER Lazer Telecomunicacoes S.A., PT
103.117.124.0/22 #AS47202 LAZER Lazer Telecomunicacoes S.A., PT
109.109.160.0/22 #AS47202 LAZER Lazer Telecomunicacoes S.A., PT
185.124.124.0/22 #AS47202 LAZER Lazer Telecomunicacoes S.A., PT
185.136.52.0/22 #AS47202 LAZER Lazer Telecomunicacoes S.A., PT
193.218.156.0/22 #AS47202 LAZER Lazer Telecomunicacoes S.A., PT
195.184.240.0/22 #AS47202 LAZER Lazer Telecomunicacoes S.A., PT
213.134.26.0/24 #AS203482 PJ Policia Judiciaria, PT
83.223.160.0/19 #AS15457 NOS-MADEIRA NOS Madeira Comunicacoes S.A., PT
84.23.192.0/19 #AS15457 NOS-MADEIRA NOS Madeira Comunicacoes S.A., PT
89.109.64.0/18 #AS15457 NOS-MADEIRA NOS Madeira Comunicacoes S.A., PT
95.172.160.0/19 #AS15457 NOS-MADEIRA NOS Madeira Comunicacoes S.A., PT
159.255.48.0/20 #AS15457 NOS-MADEIRA NOS Madeira Comunicacoes S.A., PT
188.125.192.0/19 #AS15457 NOS-MADEIRA NOS Madeira Comunicacoes S.A., PT
213.138.224.0/19 #AS15457 NOS-MADEIRA NOS Madeira Comunicacoes S.A., PT
213.190.192.0/19 #AS15457 NOS-MADEIRA NOS Madeira Comunicacoes S.A., PT
193.118.165.0/24 #AS210221 ASNEW HOVIONE FARMACIENCIA S.A., PT
194.38.130.0/24 #AS210221 ASNEW HOVIONE FARMACIENCIA S.A., PT
194.140.238.0/24 #AS41159 DIRECCAO-GERAL INSTITUTO DA MOBILIDADE E DOS TRANSPORTES TERRESTRES I.P, PT
193.47.185.0/24 #AS35822 CEGER-AS CEGER, PT
88.157.64.0/18 #AS1897 EUNETPT NOS COMUNICACOES S.A., PT
88.157.128.0/17 #AS1897 EUNETPT NOS COMUNICACOES S.A., PT
192.101.118.0/24 #AS1897 EUNETPT NOS COMUNICACOES S.A., PT
193.126.0.0/16 #AS1897 EUNETPT NOS COMUNICACOES S.A., PT
194.79.64.0/19 #AS1897 EUNETPT NOS COMUNICACOES S.A., PT
195.23.0.0/16 #AS1897 EUNETPT NOS COMUNICACOES S.A., PT
