185.96.88.0/22 #AS24800 BORNFIBER BornFiber Service Provider ApS, DK
185.96.180.0/22 #AS24800 BORNFIBER BornFiber Service Provider ApS, DK
185.107.168.0/22 #AS24800 BORNFIBER BornFiber Service Provider ApS, DK
185.107.176.0/22 #AS24800 BORNFIBER BornFiber Service Provider ApS, DK
185.108.100.0/22 #AS24800 BORNFIBER BornFiber Service Provider ApS, DK
185.108.108.0/22 #AS24800 BORNFIBER BornFiber Service Provider ApS, DK
185.108.252.0/22 #AS24800 BORNFIBER BornFiber Service Provider ApS, DK
185.109.12.0/22 #AS24800 BORNFIBER BornFiber Service Provider ApS, DK
185.109.64.0/22 #AS24800 BORNFIBER BornFiber Service Provider ApS, DK
185.109.76.0/22 #AS24800 BORNFIBER BornFiber Service Provider ApS, DK
185.109.88.0/22 #AS24800 BORNFIBER BornFiber Service Provider ApS, DK
185.129.62.0/23 #AS57860 ZENCURITY-NET Zencurity ApS, DK
185.125.220.0/22 #AS60111 ASOM-NET ASOM-Net Forening, DK
185.143.252.0/22 #AS60111 ASOM-NET ASOM-Net Forening, DK
185.157.116.0/22 #AS60111 ASOM-NET ASOM-Net Forening, DK
185.182.204.0/22 #AS60111 ASOM-NET ASOM-Net Forening, DK
185.183.40.0/22 #AS60111 ASOM-NET ASOM-Net Forening, DK
185.193.236.0/22 #AS60111 ASOM-NET ASOM-Net Forening, DK
185.254.128.0/22 #AS60111 ASOM-NET ASOM-Net Forening, DK
185.255.156.0/22 #AS60111 ASOM-NET ASOM-Net Forening, DK
193.27.44.0/24 #AS60111 ASOM-NET ASOM-Net Forening, DK
77.75.80.0/21 #AS42903 PROGRESSIVE-AS Itm8 A/S, DK
159.253.88.0/21 #AS42903 PROGRESSIVE-AS Itm8 A/S, DK
185.193.120.0/22 #AS42903 PROGRESSIVE-AS Itm8 A/S, DK
95.130.208.0/21 #AS39839 DK-PUNKTUM Punktum dk A/S, DK
185.153.252.0/22 #AS39839 DK-PUNKTUM Punktum dk A/S, DK
193.163.102.0/24 #AS39839 DK-PUNKTUM Punktum dk A/S, DK
194.126.250.0/24 #AS9167 WEBPARTNER Norlys Telco A/S, DK
193.163.221.0/24 #AS5491 OLSSON-NET Jan Olsson, DK
91.207.228.0/23 #AS43337 LOLLANDS-NET-SBS-SERVICE SB service og LollandsNet, DK
185.135.60.0/22 #AS43337 LOLLANDS-NET-SBS-SERVICE SB service og LollandsNet, DK
37.35.96.0/21 #AS49974 BODATA Bo data ApS, DK
45.157.164.0/22 #AS49974 BODATA Bo data ApS, DK
185.18.0.0/22 #AS49974 BODATA Bo data ApS, DK
213.5.32.0/21 #AS49974 BODATA Bo data ApS, DK
31.193.232.0/21 #AS8273 DK-STOFANET-AS Norlys Telco A/S, DK
91.144.192.0/18 #AS8273 DK-STOFANET-AS Norlys Telco A/S, DK
128.0.8.0/21 #AS8273 DK-STOFANET-AS Norlys Telco A/S, DK
185.10.212.0/22 #AS8273 DK-STOFANET-AS Norlys Telco A/S, DK
194.126.223.0/24 #AS51049 PKA-AS Pensionkassernes Administration A/S, DK
193.161.30.0/23 #AS207035 NETS-USERS Nets Denmark A/S, DK
185.170.126.0/24 #AS210952 ECCO-IDNA ECCO Sko A/S, DK
79.171.144.0/21 #AS59701 LYTZENIT NetNordic Denmark A/S, DK
91.228.114.0/24 #AS59701 LYTZENIT NetNordic Denmark A/S, DK
185.73.196.0/22 #AS59701 LYTZENIT NetNordic Denmark A/S, DK
185.74.48.0/22 #AS59701 LYTZENIT NetNordic Denmark A/S, DK
185.147.72.0/22 #AS59701 LYTZENIT NetNordic Denmark A/S, DK
193.189.92.0/23 #AS59701 LYTZENIT NetNordic Denmark A/S, DK
194.88.216.0/23 #AS59701 LYTZENIT NetNordic Denmark A/S, DK
195.5.160.0/24 #AS59701 LYTZENIT NetNordic Denmark A/S, DK
195.137.236.0/23 #AS59701 LYTZENIT NetNordic Denmark A/S, DK
195.158.242.0/23 #AS59701 LYTZENIT NetNordic Denmark A/S, DK
87.238.254.0/23 #AS211040 MS2001 MS 2001 Aps, DK
195.190.31.0/24 #AS211040 MS2001 MS 2001 Aps, DK
91.214.20.0/22 #AS50783 JPPOL JP/Politikens Hus A/S, DK
193.3.49.0/24 #AS50783 JPPOL JP/Politikens Hus A/S, DK
82.180.0.0/19 #AS29100 BROADCOMDK Sagitta ApS, DK
212.99.224.0/19 #AS29100 BROADCOMDK Sagitta ApS, DK
37.205.120.0/21 #AS42525 GLOBALCONNECT-AS42525 GlobalConnect A/S, DK
77.243.32.0/20 #AS42525 GLOBALCONNECT-AS42525 GlobalConnect A/S, DK
81.27.208.0/20 #AS42525 GLOBALCONNECT-AS42525 GlobalConnect A/S, DK
94.101.208.0/20 #AS42525 GLOBALCONNECT-AS42525 GlobalConnect A/S, DK
185.17.192.0/22 #AS42525 GLOBALCONNECT-AS42525 GlobalConnect A/S, DK
185.19.232.0/22 #AS42525 GLOBALCONNECT-AS42525 GlobalConnect A/S, DK
185.31.176.0/22 #AS42525 GLOBALCONNECT-AS42525 GlobalConnect A/S, DK
193.27.2.0/23 #AS42525 GLOBALCONNECT-AS42525 GlobalConnect A/S, DK
194.182.0.0/18 #AS42525 GLOBALCONNECT-AS42525 GlobalConnect A/S, DK
212.98.64.0/18 #AS42525 GLOBALCONNECT-AS42525 GlobalConnect A/S, DK
213.146.64.0/19 #AS42525 GLOBALCONNECT-AS42525 GlobalConnect A/S, DK
217.63.96.0/19 #AS42525 GLOBALCONNECT-AS42525 GlobalConnect A/S, DK
91.239.38.0/23 #AS206082 DANISH-CROWN-AS Danish Crown A/S, DK
185.196.208.0/22 #AS206082 DANISH-CROWN-AS Danish Crown A/S, DK
185.221.100.0/22 #AS206082 DANISH-CROWN-AS Danish Crown A/S, DK
178.249.48.0/21 #AS60958 INFOLINK-AS Infolink Aps, DK
91.216.101.0/24 #AS51482 BANEDANMARK-AS Banedanmark, DK
45.134.164.0/22 #AS216230 INFOWISE INFOWISE SERVICES ApS, DK
80.75.208.0/24 #AS216230 INFOWISE INFOWISE SERVICES ApS, DK
185.94.104.0/22 #AS216230 INFOWISE INFOWISE SERVICES ApS, DK
185.118.180.0/22 #AS216230 INFOWISE INFOWISE SERVICES ApS, DK
185.155.152.0/22 #AS216230 INFOWISE INFOWISE SERVICES ApS, DK
185.243.224.0/22 #AS216230 INFOWISE INFOWISE SERVICES ApS, DK
185.152.200.0/22 #AS202567 SECURE-DATA-CENTER Secure Data Center Aps, DK
192.165.250.0/24 #AS214980 HEXI-NET Hexi Group ApS, DK
91.189.200.0/21 #AS42638 NETVAERKSSMEDEN James Hansen trading as Netvaerkssmeden, DK
