192.175.48.1/32 #AS1296 University of Chili, CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
200.2.196.0/23 #AS4995 Netup S.A., CL
200.2.206.0/23 #AS4995 Netup S.A., CL
200.2.209.0/24 #AS4995 Netup S.A., CL
200.2.214.0/24 #AS4995 Netup S.A., CL
200.2.216.0/24 #AS4995 Netup S.A., CL
200.2.246.0/24 #AS4995 Netup S.A., CL
200.29.7.0/24 #AS4995 Netup S.A., CL
200.29.8.0/22 #AS4995 Netup S.A., CL
200.29.24.0/24 #AS4995 Netup S.A., CL
200.29.28.0/24 #AS4995 Netup S.A., CL
200.29.76.0/24 #AS4995 Netup S.A., CL
200.29.82.0/24 #AS4995 Netup S.A., CL
192.175.48.1/32 #AS6240 Chilenet Ltda., CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
165.182.0.0/16 #AS6429 Telmex Chile Internet S.A., CL
179.4.52.0/22 #AS6429 Telmex Chile Internet S.A., CL
179.4.56.0/21 #AS6429 Telmex Chile Internet S.A., CL
179.4.64.0/21 #AS6429 Telmex Chile Internet S.A., CL
179.4.72.0/22 #AS6429 Telmex Chile Internet S.A., CL
179.4.84.0/22 #AS6429 Telmex Chile Internet S.A., CL
179.4.88.0/22 #AS6429 Telmex Chile Internet S.A., CL
179.4.244.0/22 #AS6429 Telmex Chile Internet S.A., CL
186.20.76.0/22 #AS6429 Telmex Chile Internet S.A., CL
186.20.80.0/21 #AS6429 Telmex Chile Internet S.A., CL
186.20.88.0/22 #AS6429 Telmex Chile Internet S.A., CL
186.20.96.0/20 #AS6429 Telmex Chile Internet S.A., CL
186.20.168.0/21 #AS6429 Telmex Chile Internet S.A., CL
186.20.176.0/20 #AS6429 Telmex Chile Internet S.A., CL
186.20.192.0/21 #AS6429 Telmex Chile Internet S.A., CL
190.54.0.0/16 #AS6429 Telmex Chile Internet S.A., CL
190.208.0.0/16 #AS6429 Telmex Chile Internet S.A., CL
200.0.66.0/24 #AS6429 Telmex Chile Internet S.A., CL
200.9.142.0/24 #AS6429 Telmex Chile Internet S.A., CL
200.12.17.0/24 #AS6429 Telmex Chile Internet S.A., CL
200.12.19.0/24 #AS6429 Telmex Chile Internet S.A., CL
200.12.24.0/24 #AS6429 Telmex Chile Internet S.A., CL
200.12.27.0/24 #AS6429 Telmex Chile Internet S.A., CL
200.14.192.0/18 #AS6429 Telmex Chile Internet S.A., CL
200.27.0.0/16 #AS6429 Telmex Chile Internet S.A., CL
200.29.128.0/18 #AS6429 Telmex Chile Internet S.A., CL
200.29.192.0/19 #AS6429 Telmex Chile Internet S.A., CL
200.31.32.0/19 #AS6429 Telmex Chile Internet S.A., CL
200.32.160.0/19 #AS6429 Telmex Chile Internet S.A., CL
134.162.99.0/24 #AS6471 ENTEL CHILE S.A., CL
134.162.100.0/24 #AS6471 ENTEL CHILE S.A., CL
134.171.80.0/20 #AS6471 ENTEL CHILE S.A., CL
134.171.96.0/19 #AS6471 ENTEL CHILE S.A., CL
134.171.128.0/17 #AS6471 ENTEL CHILE S.A., CL
164.77.70.0/24 #AS6471 ENTEL CHILE S.A., CL
164.77.83.0/24 #AS6471 ENTEL CHILE S.A., CL
164.77.97.0/24 #AS6471 ENTEL CHILE S.A., CL
164.77.101.0/24 #AS6471 ENTEL CHILE S.A., CL
164.77.102.0/24 #AS6471 ENTEL CHILE S.A., CL
164.77.104.0/24 #AS6471 ENTEL CHILE S.A., CL
164.77.118.0/24 #AS6471 ENTEL CHILE S.A., CL
164.77.120.0/23 #AS6471 ENTEL CHILE S.A., CL
164.77.123.0/24 #AS6471 ENTEL CHILE S.A., CL
164.77.125.0/24 #AS6471 ENTEL CHILE S.A., CL
164.77.157.0/24 #AS6471 ENTEL CHILE S.A., CL
164.77.219.0/24 #AS6471 ENTEL CHILE S.A., CL
164.77.243.0/24 #AS6471 ENTEL CHILE S.A., CL
186.67.125.0/24 #AS6471 ENTEL CHILE S.A., CL
186.67.139.0/24 #AS6471 ENTEL CHILE S.A., CL
190.151.1.0/24 #AS6471 ENTEL CHILE S.A., CL
190.151.64.0/24 #AS6471 ENTEL CHILE S.A., CL
200.7.16.0/24 #AS6471 ENTEL CHILE S.A., CL
200.7.21.0/24 #AS6471 ENTEL CHILE S.A., CL
200.7.25.0/24 #AS6471 ENTEL CHILE S.A., CL
200.7.27.0/24 #AS6471 ENTEL CHILE S.A., CL
200.7.31.0/24 #AS6471 ENTEL CHILE S.A., CL
200.9.73.0/24 #AS6471 ENTEL CHILE S.A., CL
200.10.184.0/24 #AS6471 ENTEL CHILE S.A., CL
200.11.78.0/23 #AS6471 ENTEL CHILE S.A., CL
200.11.80.0/23 #AS6471 ENTEL CHILE S.A., CL
200.11.95.0/24 #AS6471 ENTEL CHILE S.A., CL
200.12.171.0/24 #AS6471 ENTEL CHILE S.A., CL
200.14.108.0/23 #AS6471 ENTEL CHILE S.A., CL
200.72.0.0/24 #AS6471 ENTEL CHILE S.A., CL
200.72.61.0/24 #AS6471 ENTEL CHILE S.A., CL
200.72.62.0/23 #AS6471 ENTEL CHILE S.A., CL
200.72.64.0/24 #AS6471 ENTEL CHILE S.A., CL
200.72.169.0/24 #AS6471 ENTEL CHILE S.A., CL
200.72.185.0/24 #AS6471 ENTEL CHILE S.A., CL
200.72.210.0/24 #AS6471 ENTEL CHILE S.A., CL
200.72.212.0/22 #AS6471 ENTEL CHILE S.A., CL
200.72.226.0/24 #AS6471 ENTEL CHILE S.A., CL
200.72.232.0/21 #AS6471 ENTEL CHILE S.A., CL
200.111.2.0/24 #AS6471 ENTEL CHILE S.A., CL
200.111.34.0/23 #AS6471 ENTEL CHILE S.A., CL
200.111.66.0/24 #AS6471 ENTEL CHILE S.A., CL
200.111.220.0/24 #AS6471 ENTEL CHILE S.A., CL
179.3.0.0/17 #AS6535 Telmex Servicios Empresariales S.A., CL
179.3.128.0/21 #AS6535 Telmex Servicios Empresariales S.A., CL
179.3.136.0/22 #AS6535 Telmex Servicios Empresariales S.A., CL
179.3.144.0/21 #AS6535 Telmex Servicios Empresariales S.A., CL
179.3.152.0/22 #AS6535 Telmex Servicios Empresariales S.A., CL
179.4.0.0/16 #AS6535 Telmex Servicios Empresariales S.A., CL
181.72.0.0/14 #AS6535 Telmex Servicios Empresariales S.A., CL
186.20.0.0/15 #AS6535 Telmex Servicios Empresariales S.A., CL
186.34.0.0/15 #AS6535 Telmex Servicios Empresariales S.A., CL
186.36.0.0/16 #AS6535 Telmex Servicios Empresariales S.A., CL
186.172.0.0/14 #AS6535 Telmex Servicios Empresariales S.A., CL
190.54.0.0/24 #AS6535 Telmex Servicios Empresariales S.A., CL
190.54.2.0/24 #AS6535 Telmex Servicios Empresariales S.A., CL
190.54.64.0/19 #AS6535 Telmex Servicios Empresariales S.A., CL
190.54.142.0/23 #AS6535 Telmex Servicios Empresariales S.A., CL
190.54.144.0/20 #AS6535 Telmex Servicios Empresariales S.A., CL
190.54.160.0/20 #AS6535 Telmex Servicios Empresariales S.A., CL
190.54.176.0/22 #AS6535 Telmex Servicios Empresariales S.A., CL
190.54.181.0/24 #AS6535 Telmex Servicios Empresariales S.A., CL
190.54.182.0/23 #AS6535 Telmex Servicios Empresariales S.A., CL
190.54.186.0/24 #AS6535 Telmex Servicios Empresariales S.A., CL
190.54.188.0/22 #AS6535 Telmex Servicios Empresariales S.A., CL
190.54.192.0/18 #AS6535 Telmex Servicios Empresariales S.A., CL
190.110.131.0/24 #AS6535 Telmex Servicios Empresariales S.A., CL
190.110.143.0/24 #AS6535 Telmex Servicios Empresariales S.A., CL
190.208.64.0/18 #AS6535 Telmex Servicios Empresariales S.A., CL
190.208.128.0/17 #AS6535 Telmex Servicios Empresariales S.A., CL
190.209.0.0/16 #AS6535 Telmex Servicios Empresariales S.A., CL
191.117.128.0/24 #AS6535 Telmex Servicios Empresariales S.A., CL
191.118.0.0/18 #AS6535 Telmex Servicios Empresariales S.A., CL
191.118.128.0/18 #AS6535 Telmex Servicios Empresariales S.A., CL
200.14.204.0/24 #AS6535 Telmex Servicios Empresariales S.A., CL
200.14.211.0/24 #AS6535 Telmex Servicios Empresariales S.A., CL
200.14.228.0/23 #AS6535 Telmex Servicios Empresariales S.A., CL
200.14.230.0/24 #AS6535 Telmex Servicios Empresariales S.A., CL
200.27.128.0/24 #AS6535 Telmex Servicios Empresariales S.A., CL
200.29.200.0/21 #AS6535 Telmex Servicios Empresariales S.A., CL
45.176.166.0/23 #AS7004 TELEFONICA CHILE S.A., CL
164.77.27.0/24 #AS7004 TELEFONICA CHILE S.A., CL
186.103.155.0/24 #AS7004 TELEFONICA CHILE S.A., CL
186.103.156.0/22 #AS7004 TELEFONICA CHILE S.A., CL
186.103.240.0/20 #AS7004 TELEFONICA CHILE S.A., CL
186.148.0.0/18 #AS7004 TELEFONICA CHILE S.A., CL
190.82.114.0/23 #AS7004 TELEFONICA CHILE S.A., CL
200.10.224.0/24 #AS7004 TELEFONICA CHILE S.A., CL
200.12.18.0/24 #AS7004 TELEFONICA CHILE S.A., CL
200.12.23.0/24 #AS7004 TELEFONICA CHILE S.A., CL
200.12.25.0/24 #AS7004 TELEFONICA CHILE S.A., CL
200.12.26.0/24 #AS7004 TELEFONICA CHILE S.A., CL
200.28.14.0/24 #AS7004 TELEFONICA CHILE S.A., CL
200.29.34.0/24 #AS7004 TELEFONICA CHILE S.A., CL
200.29.42.0/24 #AS7004 TELEFONICA CHILE S.A., CL
200.50.42.0/24 #AS7004 TELEFONICA CHILE S.A., CL
200.54.109.0/24 #AS7004 TELEFONICA CHILE S.A., CL
200.54.110.0/24 #AS7004 TELEFONICA CHILE S.A., CL
200.91.0.0/19 #AS7004 TELEFONICA CHILE S.A., CL
200.113.166.0/24 #AS7004 TELEFONICA CHILE S.A., CL
152.172.0.0/15 #AS7418 TELEFONICA CHILE S.A., CL
152.174.0.0/16 #AS7418 TELEFONICA CHILE S.A., CL
179.8.0.0/15 #AS7418 TELEFONICA CHILE S.A., CL
181.160.0.0/14 #AS7418 TELEFONICA CHILE S.A., CL
181.172.0.0/15 #AS7418 TELEFONICA CHILE S.A., CL
186.40.0.0/17 #AS7418 TELEFONICA CHILE S.A., CL
186.41.0.0/18 #AS7418 TELEFONICA CHILE S.A., CL
186.41.128.0/17 #AS7418 TELEFONICA CHILE S.A., CL
186.65.128.0/17 #AS7418 TELEFONICA CHILE S.A., CL
186.78.0.0/15 #AS7418 TELEFONICA CHILE S.A., CL
186.104.0.0/14 #AS7418 TELEFONICA CHILE S.A., CL
190.20.0.0/15 #AS7418 TELEFONICA CHILE S.A., CL
190.22.0.0/16 #AS7418 TELEFONICA CHILE S.A., CL
190.82.0.0/18 #AS7418 TELEFONICA CHILE S.A., CL
190.82.128.0/17 #AS7418 TELEFONICA CHILE S.A., CL
191.112.0.0/14 #AS7418 TELEFONICA CHILE S.A., CL
191.125.0.0/16 #AS7418 TELEFONICA CHILE S.A., CL
191.126.0.0/15 #AS7418 TELEFONICA CHILE S.A., CL
200.10.225.0/24 #AS7418 TELEFONICA CHILE S.A., CL
200.10.226.0/24 #AS7418 TELEFONICA CHILE S.A., CL
200.28.0.0/16 #AS7418 TELEFONICA CHILE S.A., CL
200.29.34.0/23 #AS7418 TELEFONICA CHILE S.A., CL
200.29.36.0/22 #AS7418 TELEFONICA CHILE S.A., CL
200.29.43.0/24 #AS7418 TELEFONICA CHILE S.A., CL
200.29.45.0/24 #AS7418 TELEFONICA CHILE S.A., CL
200.29.46.0/23 #AS7418 TELEFONICA CHILE S.A., CL
200.29.48.0/20 #AS7418 TELEFONICA CHILE S.A., CL
200.42.160.0/21 #AS7418 TELEFONICA CHILE S.A., CL
200.42.168.0/22 #AS7418 TELEFONICA CHILE S.A., CL
200.42.180.0/22 #AS7418 TELEFONICA CHILE S.A., CL
200.42.184.0/22 #AS7418 TELEFONICA CHILE S.A., CL
200.42.189.0/24 #AS7418 TELEFONICA CHILE S.A., CL
200.50.32.0/19 #AS7418 TELEFONICA CHILE S.A., CL
200.50.100.0/22 #AS7418 TELEFONICA CHILE S.A., CL
200.50.104.0/22 #AS7418 TELEFONICA CHILE S.A., CL
200.50.112.0/21 #AS7418 TELEFONICA CHILE S.A., CL
200.50.120.0/22 #AS7418 TELEFONICA CHILE S.A., CL
200.54.128.0/20 #AS7418 TELEFONICA CHILE S.A., CL
200.54.147.0/24 #AS7418 TELEFONICA CHILE S.A., CL
200.89.32.0/19 #AS7418 TELEFONICA CHILE S.A., CL
200.90.160.0/20 #AS7418 TELEFONICA CHILE S.A., CL
200.90.178.0/24 #AS7418 TELEFONICA CHILE S.A., CL
200.90.180.0/22 #AS7418 TELEFONICA CHILE S.A., CL
200.90.184.0/22 #AS7418 TELEFONICA CHILE S.A., CL
200.90.189.0/24 #AS7418 TELEFONICA CHILE S.A., CL
200.90.191.0/24 #AS7418 TELEFONICA CHILE S.A., CL
200.90.192.0/18 #AS7418 TELEFONICA CHILE S.A., CL
200.112.0.0/17 #AS7418 TELEFONICA CHILE S.A., CL
200.113.11.0/24 #AS7418 TELEFONICA CHILE S.A., CL
200.113.24.0/21 #AS7418 TELEFONICA CHILE S.A., CL
200.113.36.0/22 #AS7418 TELEFONICA CHILE S.A., CL
200.113.40.0/22 #AS7418 TELEFONICA CHILE S.A., CL
200.113.44.0/24 #AS7418 TELEFONICA CHILE S.A., CL
200.113.47.0/24 #AS7418 TELEFONICA CHILE S.A., CL
200.113.54.0/24 #AS7418 TELEFONICA CHILE S.A., CL
200.113.56.0/23 #AS7418 TELEFONICA CHILE S.A., CL
200.113.64.0/20 #AS7418 TELEFONICA CHILE S.A., CL
200.113.88.0/24 #AS7418 TELEFONICA CHILE S.A., CL
200.113.93.0/24 #AS7418 TELEFONICA CHILE S.A., CL
200.113.112.0/21 #AS7418 TELEFONICA CHILE S.A., CL
200.113.120.0/23 #AS7418 TELEFONICA CHILE S.A., CL
200.113.122.0/24 #AS7418 TELEFONICA CHILE S.A., CL
200.113.126.0/24 #AS7418 TELEFONICA CHILE S.A., CL
200.113.128.0/20 #AS7418 TELEFONICA CHILE S.A., CL
200.113.152.0/24 #AS7418 TELEFONICA CHILE S.A., CL
200.113.154.0/23 #AS7418 TELEFONICA CHILE S.A., CL
200.113.156.0/23 #AS7418 TELEFONICA CHILE S.A., CL
200.113.160.0/23 #AS7418 TELEFONICA CHILE S.A., CL
200.113.163.0/24 #AS7418 TELEFONICA CHILE S.A., CL
200.113.164.0/24 #AS7418 TELEFONICA CHILE S.A., CL
200.113.168.0/24 #AS7418 TELEFONICA CHILE S.A., CL
200.113.170.0/24 #AS7418 TELEFONICA CHILE S.A., CL
200.113.178.0/24 #AS7418 TELEFONICA CHILE S.A., CL
200.113.189.0/24 #AS7418 TELEFONICA CHILE S.A., CL
200.113.190.0/24 #AS7418 TELEFONICA CHILE S.A., CL
201.187.128.0/17 #AS7418 TELEFONICA CHILE S.A., CL
201.188.0.0/15 #AS7418 TELEFONICA CHILE S.A., CL
201.220.245.0/24 #AS7418 TELEFONICA CHILE S.A., CL
201.222.128.0/17 #AS7418 TELEFONICA CHILE S.A., CL
201.223.0.0/16 #AS7418 TELEFONICA CHILE S.A., CL
201.246.0.0/16 #AS7418 TELEFONICA CHILE S.A., CL
192.175.48.1/32 #AS7993 Global One Chile, CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
