192.175.48.1/32 #AS1228 UNINET-ASNBLOCK, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS1229 UNINET-ASNBLOCK, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS1230 UNINET-ASNBLOCK, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS1231 UNINET-ASNBLOCK, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS1232 UNINET-ASNBLOCK, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
137.214.0.0/15 #AS2018 TENET-1, ZA
143.128.0.0/16 #AS2018 TENET-1, ZA
146.64.0.0/16 #AS2018 TENET-1, ZA
146.141.0.0/16 #AS2018 TENET-1, ZA
146.230.0.0/16 #AS2018 TENET-1, ZA
146.232.0.0/16 #AS2018 TENET-1, ZA
152.106.0.0/16 #AS2018 TENET-1, ZA
152.112.0.0/16 #AS2018 TENET-1, ZA
154.114.0.0/17 #AS2018 TENET-1, ZA
154.115.0.0/17 #AS2018 TENET-1, ZA
155.232.0.0/16 #AS2018 TENET-1, ZA
155.238.0.0/16 #AS2018 TENET-1, ZA
155.240.160.0/19 #AS2018 TENET-1, ZA
155.240.192.0/18 #AS2018 TENET-1, ZA
163.200.0.0/16 #AS2018 TENET-1, ZA
168.172.0.0/16 #AS2018 TENET-1, ZA
192.33.10.0/24 #AS2018 TENET-1, ZA
192.94.61.0/24 #AS2018 TENET-1, ZA
192.94.210.0/24 #AS2018 TENET-1, ZA
192.96.2.0/24 #AS2018 TENET-1, ZA
192.96.5.0/24 #AS2018 TENET-1, ZA
192.96.7.0/24 #AS2018 TENET-1, ZA
192.96.8.0/24 #AS2018 TENET-1, ZA
192.96.15.0/24 #AS2018 TENET-1, ZA
192.96.20.0/23 #AS2018 TENET-1, ZA
192.96.94.0/23 #AS2018 TENET-1, ZA
192.96.109.0/24 #AS2018 TENET-1, ZA
192.96.140.0/23 #AS2018 TENET-1, ZA
192.96.142.0/24 #AS2018 TENET-1, ZA
192.96.247.0/24 #AS2018 TENET-1, ZA
192.96.248.0/23 #AS2018 TENET-1, ZA
192.96.250.0/24 #AS2018 TENET-1, ZA
192.96.252.0/24 #AS2018 TENET-1, ZA
192.102.9.0/24 #AS2018 TENET-1, ZA
196.4.95.0/24 #AS2018 TENET-1, ZA
196.6.198.0/24 #AS2018 TENET-1, ZA
196.10.121.0/24 #AS2018 TENET-1, ZA
196.10.203.0/24 #AS2018 TENET-1, ZA
196.11.76.0/22 #AS2018 TENET-1, ZA
196.11.98.0/24 #AS2018 TENET-1, ZA
196.11.136.0/21 #AS2018 TENET-1, ZA
196.11.235.0/24 #AS2018 TENET-1, ZA
196.13.115.0/24 #AS2018 TENET-1, ZA
196.13.116.0/22 #AS2018 TENET-1, ZA
196.13.150.0/24 #AS2018 TENET-1, ZA
196.13.185.0/24 #AS2018 TENET-1, ZA
196.13.187.0/24 #AS2018 TENET-1, ZA
196.13.188.0/23 #AS2018 TENET-1, ZA
196.13.190.0/24 #AS2018 TENET-1, ZA
196.13.200.0/24 #AS2018 TENET-1, ZA
196.21.0.0/16 #AS2018 TENET-1, ZA
196.24.0.0/16 #AS2018 TENET-1, ZA
196.248.0.0/16 #AS2018 TENET-1, ZA
196.249.0.0/18 #AS2018 TENET-1, ZA
196.252.228.0/23 #AS2018 TENET-1, ZA
196.254.0.0/15 #AS2018 TENET-1, ZA
198.54.58.0/24 #AS2018 TENET-1, ZA
198.54.65.0/24 #AS2018 TENET-1, ZA
198.54.66.0/24 #AS2018 TENET-1, ZA
198.54.68.0/24 #AS2018 TENET-1, ZA
198.54.83.0/24 #AS2018 TENET-1, ZA
198.54.91.0/24 #AS2018 TENET-1, ZA
198.54.155.0/24 #AS2018 TENET-1, ZA
