178.173.128.0/22 #AS1756 HAMYAR-AS, IR
178.173.132.0/24 #AS1756 HAMYAR-AS, IR
178.173.134.0/23 #AS1756 HAMYAR-AS, IR
178.173.137.0/24 #AS1756 HAMYAR-AS, IR
178.173.138.0/23 #AS1756 HAMYAR-AS, IR
178.173.140.0/22 #AS1756 HAMYAR-AS, IR
178.173.144.0/22 #AS1756 HAMYAR-AS, IR
178.173.149.0/24 #AS1756 HAMYAR-AS, IR
178.173.150.0/23 #AS1756 HAMYAR-AS, IR
178.173.160.0/19 #AS1756 HAMYAR-AS, IR
178.173.192.0/19 #AS1756 HAMYAR-AS, IR
109.125.191.0/24 #AS3263 PISHGAMAN, IR
185.46.217.0/24 #AS5484 CIS, IR
185.46.218.0/23 #AS5484 CIS, IR
185.128.152.0/23 #AS5484 CIS, IR
92.61.176.0/22 #AS5542 MINISTRY-OF-HEALTH, IR
185.123.208.0/22 #AS5542 MINISTRY-OF-HEALTH, IR
194.225.77.0/24 #AS5542 MINISTRY-OF-HEALTH, IR
62.193.3.0/24 #AS5618 DPI, IR
62.193.4.0/22 #AS5618 DPI, IR
62.193.8.0/24 #AS5618 DPI, IR
62.193.12.0/23 #AS5618 DPI, IR
62.193.16.0/23 #AS5618 DPI, IR
62.193.18.0/24 #AS5618 DPI, IR
62.193.20.0/24 #AS5618 DPI, IR
185.123.68.0/22 #AS5627 SHAHROODUT-AS1, IR
81.12.12.0/24 #AS6736 IRANET-IPM Institute for Research in Fundamental Sciences IPM, IR
87.107.116.0/23 #AS6736 IRANET-IPM Institute for Research in Fundamental Sciences IPM, IR
94.184.64.0/18 #AS6736 IRANET-IPM Institute for Research in Fundamental Sciences IPM, IR
94.184.128.0/17 #AS6736 IRANET-IPM Institute for Research in Fundamental Sciences IPM, IR
185.62.232.0/22 #AS6736 IRANET-IPM Institute for Research in Fundamental Sciences IPM, IR
194.225.0.0/16 #AS6736 IRANET-IPM Institute for Research in Fundamental Sciences IPM, IR
192.175.48.1/32 #AS8604 DWCI-CORE-BACKBONE-NL NL-new, IR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
185.120.160.0/22 #AS8868 IRCDN, IR
185.174.248.0/22 #AS8868 IRCDN, IR
185.194.76.0/22 #AS8868 IRCDN, IR
185.176.56.0/22 #AS9147 JN-AS, IR
212.86.64.0/19 #AS9147 JN-AS, IR
2.189.80.0/22 #AS12660 SHARIF-EDU-NET, IR
81.31.160.0/19 #AS12660 SHARIF-EDU-NET, IR
94.184.128.0/21 #AS12660 SHARIF-EDU-NET, IR
152.89.12.0/22 #AS12660 SHARIF-EDU-NET, IR
194.225.32.0/20 #AS12660 SHARIF-EDU-NET, IR
194.225.80.0/21 #AS12660 SHARIF-EDU-NET, IR
213.233.160.0/19 #AS12660 SHARIF-EDU-NET, IR
46.249.96.0/24 #AS12697 PARSUN-SINDAD-ANCHOR, IR
2.176.0.0/12 #AS12880 DCI-AS, IR
78.38.240.0/23 #AS12880 DCI-AS, IR
78.38.242.0/24 #AS12880 DCI-AS, IR
78.38.244.0/23 #AS12880 DCI-AS, IR
78.38.247.0/24 #AS12880 DCI-AS, IR
78.38.255.0/24 #AS12880 DCI-AS, IR
78.39.128.0/24 #AS12880 DCI-AS, IR
80.191.24.0/24 #AS12880 DCI-AS, IR
85.185.45.0/24 #AS12880 DCI-AS, IR
195.146.32.0/19 #AS12880 DCI-AS, IR
217.218.127.0/24 #AS12880 DCI-AS, IR
217.218.155.0/24 #AS12880 DCI-AS, IR
217.218.165.0/24 #AS12880 DCI-AS, IR
37.9.252.0/22 #AS13231 BAHARAN, IR
85.9.76.0/24 #AS15402 PTS, IR
62.60.136.0/23 #AS15611 IROST-AS, IR
62.60.139.0/24 #AS15611 IROST-AS, IR
62.60.140.0/24 #AS15611 IROST-AS, IR
62.60.142.0/24 #AS15611 IROST-AS, IR
62.60.145.0/24 #AS15611 IROST-AS, IR
213.176.4.0/23 #AS15611 IROST-AS, IR
213.176.122.0/23 #AS15611 IROST-AS, IR
213.176.124.0/23 #AS15611 IROST-AS, IR
185.114.188.0/22 #AS15907 IKIU-ASN, IR
5.160.210.0/24 #AS16018 SEPAHBANK-AS, IR
109.95.63.0/24 #AS16235 POYANAZM-AS, IR
185.186.241.0/24 #AS16235 POYANAZM-AS, IR
185.113.112.0/22 #AS16286 UOKASHAN, IR
5.63.15.0/24 #AS16292 KUMS, IR
91.241.92.0/24 #AS16320 ENIAC-TECH-AS, IR
31.214.146.0/23 #AS16322 PARSONLINE Tehran - IRAN, IR
31.214.154.0/24 #AS16322 PARSONLINE Tehran - IRAN, IR
31.214.228.0/22 #AS16322 PARSONLINE Tehran - IRAN, IR
37.10.64.0/22 #AS16322 PARSONLINE Tehran - IRAN, IR
46.41.192.0/18 #AS16322 PARSONLINE Tehran - IRAN, IR
46.167.128.0/19 #AS16322 PARSONLINE Tehran - IRAN, IR
77.77.64.0/18 #AS16322 PARSONLINE Tehran - IRAN, IR
82.99.192.0/18 #AS16322 PARSONLINE Tehran - IRAN, IR
109.230.204.0/22 #AS16322 PARSONLINE Tehran - IRAN, IR
185.10.71.0/24 #AS16322 PARSONLINE Tehran - IRAN, IR
192.175.48.1/32 #AS20744 IRPOST-SISVBAL, IR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS20749 IRPOST-KGVBA, IR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS20801 IRPOST-LORESTAN, IR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
176.122.210.0/23 #AS21005 AKO-FANAVARAN, IR
185.110.236.0/22 #AS21005 AKO-FANAVARAN, IR
192.175.48.1/32 #AS21071 IRPOST-KERMANSHAH, IR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS21112 IRPOST-BOJNOORD, IR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS21121 IRPOST-SHAHREKORD, IR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
