196.46.192.0/19 #AS7420 ZAMNET-AS, ZM
41.215.176.0/20 #AS36959 afczas, ZM
41.222.16.0/21 #AS36959 afczas, ZM
196.12.12.0/22 #AS36959 afczas, ZM
197.220.0.0/19 #AS36959 afczas, ZM
41.216.64.0/19 #AS36962 MTNZ-AS, ZM
41.223.116.0/22 #AS36962 MTNZ-AS, ZM
102.210.160.0/22 #AS36962 MTNZ-AS, ZM
102.212.180.0/22 #AS36962 MTNZ-AS, ZM
213.193.32.0/21 #AS36962 MTNZ-AS, ZM
41.60.0.0/20 #AS37146 realtime-as, ZM
41.60.16.0/21 #AS37146 realtime-as, ZM
41.60.128.0/22 #AS37146 realtime-as, ZM
41.60.132.0/24 #AS37146 realtime-as, ZM
41.60.192.0/22 #AS37146 realtime-as, ZM
41.60.230.0/24 #AS37146 realtime-as, ZM
196.46.124.0/23 #AS37146 realtime-as, ZM
205.177.177.0/24 #AS37146 realtime-as, ZM
41.72.96.0/19 #AS37154 ZAMTEL, ZM
165.56.0.0/13 #AS37154 ZAMTEL, ZM
196.46.192.0/19 #AS37154 ZAMTEL, ZM
41.191.116.0/22 #AS37185 iSAT-Africa, ZM
154.73.232.0/22 #AS37185 iSAT-Africa, ZM
41.77.0.0/21 #AS37287 ZAIN-ZAMBIA, ZM
45.212.0.0/14 #AS37287 ZAIN-ZAMBIA, ZM
102.144.0.0/13 #AS37287 ZAIN-ZAMBIA, ZM
197.212.0.0/15 #AS37287 ZAIN-ZAMBIA, ZM
197.214.16.0/24 #AS37287 ZAIN-ZAMBIA, ZM
192.175.48.1/32 #AS37374 Liquid-zambia, ZM - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
41.63.0.0/18 #AS37532 ZAMREN, ZM
155.0.0.0/16 #AS37532 ZAMREN, ZM
192.175.48.1/32 #AS37792 Lusaka-IXP-Peering, ZM - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
196.13.104.0/24 #AS327904 ZICTA, ZM
80.88.3.0/24 #AS328194 Copperbelt-Energy-Corporation, ZM
102.130.100.0/24 #AS328420 Bank-of-Zambia-vAS, ZM
102.68.136.0/22 #AS328427 AirLink-Broadband-AS, ZM
102.67.160.0/22 #AS328570 Fibrecom-Limited, ZM
102.23.120.0/22 #AS328646 Infratel-Corporation, ZM
102.210.96.0/23 #AS328646 Infratel-Corporation, ZM
102.210.103.0/24 #AS328665 ZRA-AS, ZM
196.223.29.0/24 #AS328665 ZRA-AS, ZM
102.203.92.0/22 #AS328817 CITYCHannel-AS, ZM
102.220.158.0/23 #AS328817 CITYCHannel-AS, ZM
192.175.48.1/32 #AS329025 ZSIC-LIFE-AS, ZM - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
196.49.88.0/24 #AS329105 Lusaka-IXP-MGT, ZM
102.210.102.0/24 #AS329383 NetOne-Data, ZM
102.204.66.0/24 #AS329444 BEELINE-TELECOMS-LIMITED, ZM
102.208.220.0/23 #AS329444 BEELINE-TELECOMS-LIMITED, ZM
