185.240.64.0/22 #AS204317 ADENNET Aden net, YE
185.112.200.0/22 #AS12486 TELEYEMEN TeleYemen, YE
195.94.0.0/20 #AS12486 TELEYEMEN TeleYemen, YE
195.94.16.0/21 #AS12486 TELEYEMEN TeleYemen, YE
195.94.24.0/24 #AS12486 TELEYEMEN TeleYemen, YE
195.94.28.0/22 #AS12486 TELEYEMEN TeleYemen, YE
5.100.160.0/21 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
5.255.8.0/21 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
5.255.16.0/20 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
31.31.176.0/20 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
46.35.64.0/19 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
46.161.224.0/19 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
63.173.172.0/23 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
65.162.184.0/23 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
78.137.64.0/19 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
80.253.176.0/20 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
81.91.24.0/21 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
82.114.160.0/20 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
82.114.176.0/21 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
89.189.64.0/19 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
94.26.192.0/19 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
109.74.32.0/20 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
109.200.160.0/19 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
110.238.32.0/19 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
131.117.160.0/21 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
134.35.0.0/16 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
175.110.0.0/18 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
176.123.16.0/20 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
178.130.64.0/18 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
185.11.8.0/22 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
185.71.132.0/22 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
185.80.44.0/22 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
185.80.140.0/22 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
188.209.224.0/19 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
188.240.96.0/19 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
198.69.12.0/23 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
213.246.0.0/19 #AS30873 PTC-YEMENNET Public Telecommunication Corporation, YE
