103.43.229.0/24 #AS133581 THAILANDPOSTCOMPANY-AS-AP Thailand Post Co .Ltd., TH
147.50.88.0/24 #AS133581 THAILANDPOSTCOMPANY-AS-AP Thailand Post Co .Ltd., TH
58.97.20.0/24 #AS38554 ICL-TH-AS-AP ICL (THAILAND), TH
58.181.154.0/24 #AS38554 ICL-TH-AS-AP ICL (THAILAND), TH
103.164.85.0/24 #AS136906 NNCK-AS-AP Corecasys Kaopode, TH
1.179.227.0/24 #AS147027 RTARF-MI Royal Thai Armed Force Headquarters, TH
110.164.234.0/23 #AS147027 RTARF-MI Royal Thai Armed Force Headquarters, TH
125.24.252.0/24 #AS147027 RTARF-MI Royal Thai Armed Force Headquarters, TH
45.121.60.0/24 #AS132300 NIPA-AS-TH NIPA Technology Co. Ltd, TH
45.121.62.0/23 #AS132300 NIPA-AS-TH NIPA Technology Co. Ltd, TH
103.29.188.0/22 #AS132300 NIPA-AS-TH NIPA Technology Co. Ltd, TH
103.74.253.0/24 #AS132300 NIPA-AS-TH NIPA Technology Co. Ltd, TH
103.212.36.0/22 #AS132300 NIPA-AS-TH NIPA Technology Co. Ltd, TH
139.5.144.0/24 #AS132300 NIPA-AS-TH NIPA Technology Co. Ltd, TH
183.90.168.0/21 #AS132300 NIPA-AS-TH NIPA Technology Co. Ltd, TH
202.94.168.0/22 #AS132300 NIPA-AS-TH NIPA Technology Co. Ltd, TH
202.129.205.0/24 #AS132300 NIPA-AS-TH NIPA Technology Co. Ltd, TH
202.129.206.0/23 #AS132300 NIPA-AS-TH NIPA Technology Co. Ltd, TH
164.115.251.0/24 #AS66666 NATIONAL-ELECTRONICS National Electronics and Computer Technology Center, TH
49.229.44.0/24 #AS140032 UOB-AS-AP United Overseas Bank (Thai) Public Company Limited, TH
119.63.92.0/24 #AS140032 UOB-AS-AP United Overseas Bank (Thai) Public Company Limited, TH
103.6.165.0/24 #AS132172 FPO-AS-AP Fiscal Policy Office, TH
202.29.86.0/24 #AS149503 MBU-AS-UNINET-AP Office of Info.Tech. Admin. for Educational Development, TH
83.118.101.0/24 #AS133328 AWN-BANGKOK-PATANA-SCHOOL-AS-AP Bangkok Patana School, TH
110.170.144.0/24 #AS133328 AWN-BANGKOK-PATANA-SCHOOL-AS-AP Bangkok Patana School, TH
119.46.243.0/24 #AS55844 PROCESSINGCENTER-AS-AP TRUE INTERNET CORPORATION CO. LTD., TH
203.155.156.0/24 #AS55844 PROCESSINGCENTER-AS-AP TRUE INTERNET CORPORATION CO. LTD., TH
180.128.0.0/20 #AS23932 WINTH-AS-AP World Internetwork Corporation Co. Ltd, TH
180.128.16.0/23 #AS23932 WINTH-AS-AP World Internetwork Corporation Co. Ltd, TH
180.128.19.0/24 #AS23932 WINTH-AS-AP World Internetwork Corporation Co. Ltd, TH
180.128.20.0/22 #AS23932 WINTH-AS-AP World Internetwork Corporation Co. Ltd, TH
180.128.24.0/21 #AS23932 WINTH-AS-AP World Internetwork Corporation Co. Ltd, TH
180.128.32.0/22 #AS23932 WINTH-AS-AP World Internetwork Corporation Co. Ltd, TH
180.128.240.0/21 #AS23932 WINTH-AS-AP World Internetwork Corporation Co. Ltd, TH
202.44.52.0/22 #AS23932 WINTH-AS-AP World Internetwork Corporation Co. Ltd, TH
202.52.4.0/22 #AS23932 WINTH-AS-AP World Internetwork Corporation Co. Ltd, TH
203.145.112.0/24 #AS23932 WINTH-AS-AP World Internetwork Corporation Co. Ltd, TH
203.145.114.0/23 #AS23932 WINTH-AS-AP World Internetwork Corporation Co. Ltd, TH
203.145.116.0/22 #AS23932 WINTH-AS-AP World Internetwork Corporation Co. Ltd, TH
116.193.150.0/23 #AS45248 UIH-TH-AP United Information Highway Co. Ltd, TH
117.121.212.0/23 #AS45248 UIH-TH-AP United Information Highway Co. Ltd, TH
119.63.64.0/24 #AS45248 UIH-TH-AP United Information Highway Co. Ltd, TH
119.63.71.0/24 #AS45248 UIH-TH-AP United Information Highway Co. Ltd, TH
124.197.49.0/24 #AS45248 UIH-TH-AP United Information Highway Co. Ltd, TH
160.187.248.0/24 #AS45248 UIH-TH-AP United Information Highway Co. Ltd, TH
103.60.185.0/24 #AS18356 AWARE-AS-AP Aware Corporation Limited, TH
202.8.78.0/23 #AS18356 AWARE-AS-AP Aware Corporation Limited, TH
103.175.124.0/23 #AS136496 DPU-AS-AP Dhurakij Pundit University, TH
203.159.76.0/24 #AS137856 TNICF-AS-AP Thai Network Information Center Foundation, TH
203.159.79.0/24 #AS137856 TNICF-AS-AP Thai Network Information Center Foundation, TH
58.97.9.0/24 #AS45173 SEAMICO-SECURITIES-PUBLIC Seamico Securities Public Company Limited, TH
58.137.159.0/24 #AS45173 SEAMICO-SECURITIES-PUBLIC Seamico Securities Public Company Limited, TH
203.170.16.0/22 #AS45533 CGD-AS-TH-AP The Comptroller General's Department, TH
103.152.53.0/24 #AS140725 THAICUSTOMS-AS-AP Thai Customs Department, TH
119.110.240.0/24 #AS152445 GSB-AS-TH The Government Savings Bank, TH
103.168.174.0/23 #AS142435 HGCL-AS-AP HGC Global Communications (Thailand) Limited, TH
103.76.40.0/22 #AS138466 DATAMOSSA-AS-AP DataMossa Co. Ltd., TH
103.126.52.0/22 #AS138466 DATAMOSSA-AS-AP DataMossa Co. Ltd., TH
103.174.58.0/23 #AS138466 DATAMOSSA-AS-AP DataMossa Co. Ltd., TH
202.3.54.0/24 #AS138466 DATAMOSSA-AS-AP DataMossa Co. Ltd., TH
14.207.0.0/24 #AS131445 AIS3G-2100-AS-AP ADVANCED WIRELESS NETWORK COMPANY LIMITED, TH
14.207.3.0/24 #AS131445 AIS3G-2100-AS-AP ADVANCED WIRELESS NETWORK COMPANY LIMITED, TH
14.207.4.0/24 #AS131445 AIS3G-2100-AS-AP ADVANCED WIRELESS NETWORK COMPANY LIMITED, TH
23.202.236.0/22 #AS131445 AIS3G-2100-AS-AP ADVANCED WIRELESS NETWORK COMPANY LIMITED, TH
49.229.160.0/19 #AS131445 AIS3G-2100-AS-AP ADVANCED WIRELESS NETWORK COMPANY LIMITED, TH
