41.220.32.0/20 #AS25139 TVCABO-AS, MZ
196.46.0.0/20 #AS25139 TVCABO-AS, MZ
197.249.0.0/16 #AS25139 TVCABO-AS, MZ
41.138.225.0/24 #AS30619 TMCEL-Mocambique, MZ
41.138.236.0/24 #AS30619 TMCEL-Mocambique, MZ
41.191.72.0/22 #AS30619 TMCEL-Mocambique, MZ
41.220.160.0/20 #AS30619 TMCEL-Mocambique, MZ
41.220.192.0/21 #AS30619 TMCEL-Mocambique, MZ
41.220.200.0/23 #AS30619 TMCEL-Mocambique, MZ
169.239.104.0/22 #AS30619 TMCEL-Mocambique, MZ
196.28.224.0/20 #AS30619 TMCEL-Mocambique, MZ
196.43.234.0/24 #AS30619 TMCEL-Mocambique, MZ
197.158.0.0/18 #AS30619 TMCEL-Mocambique, MZ
196.3.96.0/21 #AS31960 EMUNET, MZ
41.223.124.0/22 #AS32017 SATCOM-MOZ, MZ
41.221.64.0/20 #AS36865 MZ-TELEDATA, MZ
196.22.48.0/20 #AS36865 MZ-TELEDATA, MZ
41.220.200.0/21 #AS36945 mcelISP, MZ
192.175.48.1/32 #AS37042 MCS-AS, MZ - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
41.77.128.0/21 #AS37110 moztel-as, MZ
41.223.152.0/22 #AS37110 moztel-as, MZ
165.90.64.0/19 #AS37110 moztel-as, MZ
195.140.248.0/22 #AS37110 moztel-as, MZ
192.175.48.1/32 #AS37139 gateway-mz-as, MZ - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
41.76.144.0/21 #AS37223 VODACOM-, MZ
197.235.0.0/16 #AS37223 VODACOM-, MZ
197.218.0.0/15 #AS37342 MOVITEL, MZ
169.239.104.0/23 #AS37436 INTIC, MZ
196.43.241.0/24 #AS37477 Mozabanco, MZ
105.235.216.0/21 #AS37489 ABARICOMMOZ, MZ
197.231.216.0/22 #AS37556 CILIXSOFT-ASN, MZ
192.175.48.1/32 #AS37635 MOZIX-peering, MZ - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
102.210.72.0/22 #AS37697 webmasters, MZ
160.119.112.0/21 #AS37697 webmasters, MZ
169.255.132.0/22 #AS37697 webmasters, MZ
196.10.148.0/24 #AS37697 webmasters, MZ
41.76.0.0/21 #AS42235 IDC-AS Intra Data Communication, MZ
41.77.32.0/21 #AS42235 IDC-AS Intra Data Communication, MZ
196.40.112.0/20 #AS42235 IDC-AS Intra Data Communication, MZ
197.242.160.0/20 #AS42235 IDC-AS Intra Data Communication, MZ
41.94.0.0/16 #AS327700 MoRENet, MZ
196.11.135.0/24 #AS327759 SGS-MCNET, MZ
196.13.101.0/24 #AS327951 AS-INCM, MZ
160.19.190.0/23 #AS328187 EDM-AS, MZ
102.208.16.0/22 #AS328223 VOIPTECH-LIMITADA-AS, MZ
160.119.156.0/22 #AS328223 VOIPTECH-LIMITADA-AS, MZ
102.176.248.0/23 #AS328274 BBID1-AS, MZ
102.67.188.0/22 #AS328460 EYAZS-IMPERIUM-AS, MZ
102.36.146.0/24 #AS328591 American-International-Mozambique, MZ
102.211.108.0/22 #AS329310 Netmoz-Sociedade-Unipessoal-Lda, MZ
102.209.248.0/22 #AS329394 OneCloud, MZ
102.207.223.0/24 #AS329491 Bubble-Cloud-Mozambique-SA, MZ
192.175.48.1/32 #AS329498 BRAVANTIC-EVOLVING-TECHNOLOGY-SA, MZ - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
102.207.76.0/22 #AS329516 Business-Connexion-Mozambique, MZ
102.205.224.0/22 #AS329533 WNMS1, MZ
102.203.152.0/22 #AS329689 Iz-Telecom-Su-Lda, MZ
