138.122.160.0/22 #AS23201 Telecel S.A., PY
181.40.0.0/16 #AS23201 Telecel S.A., PY
181.120.0.0/13 #AS23201 Telecel S.A., PY
186.0.188.0/22 #AS23201 Telecel S.A., PY
186.2.192.0/19 #AS23201 Telecel S.A., PY
186.2.224.0/20 #AS23201 Telecel S.A., PY
186.16.0.0/15 #AS23201 Telecel S.A., PY
190.2.192.0/20 #AS23201 Telecel S.A., PY
190.114.224.0/21 #AS23201 Telecel S.A., PY
190.121.160.0/20 #AS23201 Telecel S.A., PY
190.128.128.0/17 #AS23201 Telecel S.A., PY
200.9.4.0/22 #AS23201 Telecel S.A., PY
200.26.176.0/21 #AS23201 Telecel S.A., PY
200.85.32.0/19 #AS23201 Telecel S.A., PY
200.108.128.0/20 #AS27669 E-life Paraguay S.A., PY
200.61.224.0/21 #AS27727 Consultronic S.A.E.C.A., PY
200.61.232.0/22 #AS27727 Consultronic S.A.E.C.A., PY
200.61.236.0/24 #AS27727 Consultronic S.A.E.C.A., PY
200.61.238.0/23 #AS27727 Consultronic S.A.E.C.A., PY
200.10.228.0/22 #AS27733 Centro Nacional de Computacion, PY
177.250.0.0/17 #AS27768 COMPANIA PARAGUAYA DE COMUNICACIONES S.A. COPACO S.A., PY
177.250.128.0/18 #AS27768 COMPANIA PARAGUAYA DE COMUNICACIONES S.A. COPACO S.A., PY
177.251.24.0/21 #AS27768 COMPANIA PARAGUAYA DE COMUNICACIONES S.A. COPACO S.A., PY
177.251.32.0/19 #AS27768 COMPANIA PARAGUAYA DE COMUNICACIONES S.A. COPACO S.A., PY
177.251.64.0/18 #AS27768 COMPANIA PARAGUAYA DE COMUNICACIONES S.A. COPACO S.A., PY
177.251.252.0/23 #AS27768 COMPANIA PARAGUAYA DE COMUNICACIONES S.A. COPACO S.A., PY
177.251.254.0/24 #AS27768 COMPANIA PARAGUAYA DE COMUNICACIONES S.A. COPACO S.A., PY
190.23.0.0/17 #AS27768 COMPANIA PARAGUAYA DE COMUNICACIONES S.A. COPACO S.A., PY
