203.217.142.0/24 #AS131187 ECSN-AS-AP Teritary Education Commission, NZ
103.216.189.0/24 #AS135385 GOUGHGROUP-AS-AP Gough Group Limited, NZ
103.51.100.0/23 #AS149052 BGL-AS-AP Big Noise Group Limited, NZ
103.232.226.0/23 #AS149052 BGL-AS-AP Big Noise Group Limited, NZ
103.19.100.0/22 #AS132722 ITL-AS-AP Intellium Technology Limited, NZ
203.176.122.0/23 #AS135400 CONTACTENERGY-AS-AP Contact Energy Limited, NZ
103.49.205.0/24 #AS133950 HOOPLAHOSTING-AS-AP Hoopla Hosting Limited, NZ
103.55.179.0/24 #AS133950 HOOPLAHOSTING-AS-AP Hoopla Hosting Limited, NZ
103.87.121.0/24 #AS133950 HOOPLAHOSTING-AS-AP Hoopla Hosting Limited, NZ
103.96.117.0/24 #AS133950 HOOPLAHOSTING-AS-AP Hoopla Hosting Limited, NZ
103.51.156.0/23 #AS140680 NRGAUTOMATIONLTD-AS-AP NRG Automation Ltd, NZ
110.173.174.0/23 #AS24548 BAYCITY-AS-AP BayCity Communications, NZ
103.203.238.0/23 #AS133187 ASHGROUPLTD-AS-AP Ashnet Limited, NZ
103.243.96.0/22 #AS133187 ASHGROUPLTD-AS-AP Ashnet Limited, NZ
202.12.0.0/24 #AS18021 UNINET-AS-AP Unisys New Zealand Ltd, NZ
202.86.96.0/20 #AS18021 UNINET-AS-AP Unisys New Zealand Ltd, NZ
103.10.233.0/24 #AS132003 VUW-SOFTNETLAB-AP Victoria University of Wellington, NZ
103.196.108.0/23 #AS132003 VUW-SOFTNETLAB-AP Victoria University of Wellington, NZ
202.125.110.0/24 #AS55485 TWWOA-AS-NZ Te Whare Wananga o Awanuiarangi, NZ
103.109.246.0/24 #AS137469 SIGNIFYLIMITED-AS-AP Signify Limited, NZ
103.44.45.0/24 #AS133870 BDL-AS-AP Brand Developers Limited, NZ
41.79.175.0/24 #AS132692 GLOBICOMLIMITED-AS-AP GlobiCom Limited, NZ
45.64.60.0/23 #AS132692 GLOBICOMLIMITED-AS-AP GlobiCom Limited, NZ
