212.111.128.0/19 #AS9142 Commercial ISP, VG
213.40.0.0/16 #AS9142 Commercial ISP, VG
23.136.96.0/24 #AS14694 BVIX-SERVICES - Telecommunications Regulatory Commission, VG
206.81.110.0/24 #AS14694 BVIX-SERVICES - Telecommunications Regulatory Commission, VG
74.113.104.0/22 #AS22069 CARIB-23 - CCT Global Communications, VG
199.204.232.0/21 #AS22069 CARIB-23 - CCT Global Communications, VG
91.200.221.0/24 #AS22160 INISMART-01 - INIsmart Technology Ltd., VG
103.151.45.0/24 #AS22160 INISMART-01 - INIsmart Technology Ltd., VG
151.243.126.0/24 #AS22160 INISMART-01 - INIsmart Technology Ltd., VG
165.140.9.0/24 #AS22160 INISMART-01 - INIsmart Technology Ltd., VG
209.178.235.0/24 #AS22160 INISMART-01 - INIsmart Technology Ltd., VG
45.38.8.0/24 #AS23511 GRASS-DATA-24 - Grass DataCo BVI Ltd., VG
45.38.12.0/23 #AS23511 GRASS-DATA-24 - Grass DataCo BVI Ltd., VG
45.38.21.0/24 #AS23511 GRASS-DATA-24 - Grass DataCo BVI Ltd., VG
45.38.56.0/24 #AS23511 GRASS-DATA-24 - Grass DataCo BVI Ltd., VG
50.118.166.0/23 #AS23511 GRASS-DATA-24 - Grass DataCo BVI Ltd., VG
142.252.54.0/23 #AS23511 GRASS-DATA-24 - Grass DataCo BVI Ltd., VG
172.252.188.0/23 #AS23511 GRASS-DATA-24 - Grass DataCo BVI Ltd., VG
205.164.46.0/23 #AS23511 GRASS-DATA-24 - Grass DataCo BVI Ltd., VG
