151.252.198.0/24 #AS59709 TEKEXPERTS-AS Teknowledge OPS Bulgaria EOOD, BG
85.217.128.0/24 #AS204842 MJBG-AS Ministry of Justice Bulgaria, BG
93.123.48.0/20 #AS43068 PLADI-AS Pladi Computers Ltd., BG
185.236.143.0/24 #AS43068 PLADI-AS Pladi Computers Ltd., BG
87.118.134.0/24 #AS42815 COMMETRIC ComMetric Ltd., BG
213.91.157.0/24 #AS199512 DEMAX-LTD Demax JSC, BG
5.182.21.0/24 #AS8860 DELTA-BG-AS Delta HighTech Ltd., BG
5.182.23.0/24 #AS8860 DELTA-BG-AS Delta HighTech Ltd., BG
45.10.201.0/24 #AS8860 DELTA-BG-AS Delta HighTech Ltd., BG
45.10.202.0/24 #AS8860 DELTA-BG-AS Delta HighTech Ltd., BG
45.67.19.0/24 #AS8860 DELTA-BG-AS Delta HighTech Ltd., BG
77.78.147.0/24 #AS8860 DELTA-BG-AS Delta HighTech Ltd., BG
77.78.150.0/24 #AS8860 DELTA-BG-AS Delta HighTech Ltd., BG
79.98.104.0/21 #AS8860 DELTA-BG-AS Delta HighTech Ltd., BG
185.52.204.0/22 #AS8860 DELTA-BG-AS Delta HighTech Ltd., BG
185.55.228.0/22 #AS8860 DELTA-BG-AS Delta HighTech Ltd., BG
185.133.72.0/24 #AS8860 DELTA-BG-AS Delta HighTech Ltd., BG
185.166.238.0/24 #AS8860 DELTA-BG-AS Delta HighTech Ltd., BG
185.199.37.0/24 #AS8860 DELTA-BG-AS Delta HighTech Ltd., BG
185.199.38.0/24 #AS8860 DELTA-BG-AS Delta HighTech Ltd., BG
185.228.24.0/22 #AS8860 DELTA-BG-AS Delta HighTech Ltd., BG
185.239.124.0/24 #AS8860 DELTA-BG-AS Delta HighTech Ltd., BG
185.239.126.0/23 #AS8860 DELTA-BG-AS Delta HighTech Ltd., BG
194.145.63.0/24 #AS8860 DELTA-BG-AS Delta HighTech Ltd., BG
195.189.80.0/22 #AS8860 DELTA-BG-AS Delta HighTech Ltd., BG
91.238.255.0/24 #AS198744 BGPORTS BULGARIAN PORTS INFRASTRUCTURE, BG
77.78.148.0/23 #AS62323 DRAGONET DragoNET - Lyuba Pesheva, BG
13.140.25.0/24 #AS203380 DAINTERNATIONALGROUP DA International Group Ltd., BG
23.26.14.0/24 #AS203380 DAINTERNATIONALGROUP DA International Group Ltd., BG
23.26.21.0/24 #AS203380 DAINTERNATIONALGROUP DA International Group Ltd., BG
31.22.10.0/24 #AS203380 DAINTERNATIONALGROUP DA International Group Ltd., BG
45.59.100.0/23 #AS203380 DAINTERNATIONALGROUP DA International Group Ltd., BG
77.76.13.0/24 #AS203380 DAINTERNATIONALGROUP DA International Group Ltd., BG
78.128.99.0/24 #AS203380 DAINTERNATIONALGROUP DA International Group Ltd., BG
78.128.127.0/24 #AS203380 DAINTERNATIONALGROUP DA International Group Ltd., BG
79.124.7.0/24 #AS203380 DAINTERNATIONALGROUP DA International Group Ltd., BG
79.124.77.0/24 #AS203380 DAINTERNATIONALGROUP DA International Group Ltd., BG
82.118.227.0/24 #AS203380 DAINTERNATIONALGROUP DA International Group Ltd., BG
82.118.230.0/24 #AS203380 DAINTERNATIONALGROUP DA International Group Ltd., BG
82.118.234.0/23 #AS203380 DAINTERNATIONALGROUP DA International Group Ltd., BG
82.118.245.0/24 #AS203380 DAINTERNATIONALGROUP DA International Group Ltd., BG
91.148.132.0/24 #AS203380 DAINTERNATIONALGROUP DA International Group Ltd., BG
91.148.141.0/24 #AS203380 DAINTERNATIONALGROUP DA International Group Ltd., BG
91.243.177.0/24 #AS203380 DAINTERNATIONALGROUP DA International Group Ltd., BG
94.72.140.0/23 #AS203380 DAINTERNATIONALGROUP DA International Group Ltd., BG
