23.136.248.0/24 #AS886 SBH-IX-SERVICES - COLLECTIVITE DE SAINT BARTHELEMY, FR
192.175.48.1/32 #AS887 SBH-IX-ROUTE-SERVERS - COLLECTIVITE DE SAINT BARTHELEMY, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
45.13.104.0/22 #AS2027 MILKYWAN MilkyWan, FR
62.204.43.0/24 #AS2027 MILKYWAN MilkyWan, FR
80.67.167.0/24 #AS2027 MILKYWAN MilkyWan, FR
193.58.42.0/23 #AS2027 MILKYWAN MilkyWan, FR
195.20.209.0/24 #AS2027 MILKYWAN MilkyWan, FR
81.194.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
91.236.25.0/24 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
128.93.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
129.20.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
129.102.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
129.104.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
129.199.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
130.66.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
130.120.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
132.166.0.0/15 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
132.168.0.0/15 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
134.59.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
134.206.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
134.214.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
138.102.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
138.195.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
139.124.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
141.115.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
145.238.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
147.94.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
147.99.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
147.100.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
147.171.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
147.250.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
148.60.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
152.81.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
157.136.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
159.84.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
161.3.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
162.38.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
163.9.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
