195.138.96.0/22 #AS8474 AS8474 Riscom S.A., MD
195.138.100.0/23 #AS8474 AS8474 Riscom S.A., MD
195.138.102.0/24 #AS8474 AS8474 Riscom S.A., MD
46.166.0.0/18 #AS25454 ASN-OMD-FNO ORANGE MOLDOVA S.A., MD
77.89.192.0/18 #AS25454 ASN-OMD-FNO ORANGE MOLDOVA S.A., MD
94.243.64.0/18 #AS25454 ASN-OMD-FNO ORANGE MOLDOVA S.A., MD
185.8.68.0/22 #AS25454 ASN-OMD-FNO ORANGE MOLDOVA S.A., MD
185.167.132.0/22 #AS25454 ASN-OMD-FNO ORANGE MOLDOVA S.A., MD
188.131.0.0/17 #AS25454 ASN-OMD-FNO ORANGE MOLDOVA S.A., MD
193.239.182.0/23 #AS25454 ASN-OMD-FNO ORANGE MOLDOVA S.A., MD
195.22.224.0/19 #AS25454 ASN-OMD-FNO ORANGE MOLDOVA S.A., MD
212.56.192.0/19 #AS25454 ASN-OMD-FNO ORANGE MOLDOVA S.A., MD
217.12.112.0/20 #AS25454 ASN-OMD-FNO ORANGE MOLDOVA S.A., MD
45.144.32.0/22 #AS208343 ASIDK2019 INTERDNESTRKOM Sovmestnoe Zakrytoe Aktsionernoe Obshchestvo, MD
185.57.44.0/23 #AS57428 INTELECT-AS SD & INTELECT SRL, MD
189.13.114.0/23 #AS203950 CONTRUST-SOLUTIONS Contrust Solutions S.R.L., MD
89.46.241.0/24 #AS50704 STAR-TV-AS STAR TV SRL, MD
217.26.144.0/20 #AS28990 MOLDDATA-AS Information Technology and Cyber Security Service, MD
178.175.173.0/24 #AS216303 PRIDE-SYSTEM Pride System SRL, MD
178.175.150.0/24 #AS51246 RASVTV RASV-TV SRL, MD
5.180.97.0/24 #AS215305 RETZOR-AS Mastersoft S.R.L., MD
45.81.35.0/24 #AS215305 RETZOR-AS Mastersoft S.R.L., MD
45.151.183.0/24 #AS215305 RETZOR-AS Mastersoft S.R.L., MD
46.8.112.0/23 #AS215305 RETZOR-AS Mastersoft S.R.L., MD
80.66.69.0/24 #AS215305 RETZOR-AS Mastersoft S.R.L., MD
87.251.72.0/24 #AS215305 RETZOR-AS Mastersoft S.R.L., MD
103.112.68.0/23 #AS215305 RETZOR-AS Mastersoft S.R.L., MD
103.119.18.0/23 #AS215305 RETZOR-AS Mastersoft S.R.L., MD
103.200.28.0/24 #AS215305 RETZOR-AS Mastersoft S.R.L., MD
109.248.42.0/24 #AS215305 RETZOR-AS Mastersoft S.R.L., MD
144.48.10.0/24 #AS215305 RETZOR-AS Mastersoft S.R.L., MD
185.245.40.0/24 #AS215305 RETZOR-AS Mastersoft S.R.L., MD
188.130.208.0/24 #AS215305 RETZOR-AS Mastersoft S.R.L., MD
192.145.98.0/24 #AS215305 RETZOR-AS Mastersoft S.R.L., MD
195.78.49.0/24 #AS215305 RETZOR-AS Mastersoft S.R.L., MD
185.212.8.0/24 #AS62071 DATAHOST-AS Datahost SRL, MD
