45.151.4.0/22 #AS49604 ZONE Zone Media OU, EE
85.222.232.0/22 #AS49604 ZONE Zone Media OU, EE
85.234.242.0/23 #AS49604 ZONE Zone Media OU, EE
85.234.244.0/22 #AS49604 ZONE Zone Media OU, EE
185.31.240.0/22 #AS49604 ZONE Zone Media OU, EE
217.146.64.0/20 #AS49604 ZONE Zone Media OU, EE
37.143.64.0/21 #AS57873 SONICTEST SONICTEST Ltd., EE
185.14.216.0/22 #AS57873 SONICTEST SONICTEST Ltd., EE
37.49.224.0/21 #AS61254 ESTOXY-OU ESTOXY OU, EE
45.196.229.0/24 #AS61254 ESTOXY-OU ESTOXY OU, EE
91.223.243.0/24 #AS206714 SKIDSOLUTIONS SK ID Solutions AS, EE
78.24.48.0/21 #AS43937 PTNET Playtech Estonia OU, EE
82.116.128.0/21 #AS43937 PTNET Playtech Estonia OU, EE
82.116.136.0/24 #AS43937 PTNET Playtech Estonia OU, EE
82.116.138.0/23 #AS43937 PTNET Playtech Estonia OU, EE
82.116.140.0/22 #AS43937 PTNET Playtech Estonia OU, EE
82.116.144.0/21 #AS43937 PTNET Playtech Estonia OU, EE
82.116.152.0/23 #AS43937 PTNET Playtech Estonia OU, EE
82.116.154.0/24 #AS43937 PTNET Playtech Estonia OU, EE
82.116.156.0/22 #AS43937 PTNET Playtech Estonia OU, EE
87.251.0.0/20 #AS43937 PTNET Playtech Estonia OU, EE
93.89.16.0/23 #AS43937 PTNET Playtech Estonia OU, EE
93.89.19.0/24 #AS43937 PTNET Playtech Estonia OU, EE
93.89.20.0/22 #AS43937 PTNET Playtech Estonia OU, EE
93.89.25.0/24 #AS43937 PTNET Playtech Estonia OU, EE
93.89.26.0/23 #AS43937 PTNET Playtech Estonia OU, EE
93.89.28.0/22 #AS43937 PTNET Playtech Estonia OU, EE
94.190.144.0/20 #AS43937 PTNET Playtech Estonia OU, EE
103.220.220.0/22 #AS43937 PTNET Playtech Estonia OU, EE
103.245.116.0/22 #AS43937 PTNET Playtech Estonia OU, EE
178.255.8.0/24 #AS43937 PTNET Playtech Estonia OU, EE
178.255.10.0/23 #AS43937 PTNET Playtech Estonia OU, EE
178.255.12.0/22 #AS43937 PTNET Playtech Estonia OU, EE
185.6.176.0/22 #AS43937 PTNET Playtech Estonia OU, EE
185.249.222.0/23 #AS43937 PTNET Playtech Estonia OU, EE
201.7.32.0/23 #AS43937 PTNET Playtech Estonia OU, EE
213.187.224.0/21 #AS43937 PTNET Playtech Estonia OU, EE
213.187.232.0/23 #AS43937 PTNET Playtech Estonia OU, EE
213.187.235.0/24 #AS43937 PTNET Playtech Estonia OU, EE
213.187.236.0/22 #AS43937 PTNET Playtech Estonia OU, EE
213.187.248.0/24 #AS43937 PTNET Playtech Estonia OU, EE
213.187.250.0/23 #AS43937 PTNET Playtech Estonia OU, EE
213.187.252.0/23 #AS43937 PTNET Playtech Estonia OU, EE
213.187.254.0/24 #AS43937 PTNET Playtech Estonia OU, EE
185.176.121.0/24 #AS211156 ELEKS-PL Eleks Holding OU, EE
185.176.123.0/24 #AS211156 ELEKS-PL Eleks Holding OU, EE
85.137.164.0/22 #AS62212 EE SmartApe OU, EE
87.236.146.0/24 #AS62212 EE SmartApe OU, EE
91.184.248.0/22 #AS62212 EE SmartApe OU, EE
91.199.137.0/24 #AS62212 EE SmartApe OU, EE
91.199.147.0/24 #AS62212 EE SmartApe OU, EE
91.199.154.0/24 #AS62212 EE SmartApe OU, EE
91.199.160.0/24 #AS62212 EE SmartApe OU, EE
92.61.70.0/23 #AS62212 EE SmartApe OU, EE
109.172.8.0/23 #AS62212 EE SmartApe OU, EE
109.238.94.0/23 #AS62212 EE SmartApe OU, EE
141.133.172.0/22 #AS62212 EE SmartApe OU, EE
188.127.246.0/23 #AS62212 EE SmartApe OU, EE
193.93.194.0/24 #AS62212 EE SmartApe OU, EE
193.124.56.0/22 #AS62212 EE SmartApe OU, EE
185.50.96.0/23 #AS62024 PACS SIHTASUTUS EESTI TERVISHOIU PILDIPANK, EE
