31.128.60.0/24 #AS215719 UNIBANK-AS Unibank OJSC, AM
5.63.160.0/24 #AS201921 INTERLOTTO DIGITAIN LLC, AM
194.33.82.0/24 #AS201921 INTERLOTTO DIGITAIN LLC, AM
176.124.96.0/21 #AS51342 HACHN-AS Hachn ISP Ltd., AM
195.128.166.0/23 #AS51342 HACHN-AS Hachn ISP Ltd., AM
93.185.152.0/24 #AS201219 VSD Mushegh Baghdasaryan, AM
31.132.72.0/21 #AS56956 VOLKOF-INFORM-AS Volkof-Inform Ltd., AM
31.47.199.0/24 #AS57491 MASISNET KIM-RAY Ltd., AM
213.109.197.0/24 #AS210147 AM-ISPSUPPORT ISP SUPPORT LLC, AM
217.113.22.0/23 #AS210147 AM-ISPSUPPORT ISP SUPPORT LLC, AM
217.113.31.0/24 #AS210147 AM-ISPSUPPORT ISP SUPPORT LLC, AM
83.139.23.0/24 #AS198441 MIGTELECOM Migtelecom LLC, AM
185.86.193.0/24 #AS198441 MIGTELECOM Migtelecom LLC, AM
45.143.207.0/24 #AS206783 HAYK-COM HAYKAZ GHANDILYAN ANDRANIKI Private Entrepreneur, AM
217.113.26.0/23 #AS206783 HAYK-COM HAYKAZ GHANDILYAN ANDRANIKI Private Entrepreneur, AM
5.63.160.0/21 #AS49800 GNC-ALFA GNC-Alfa CJSC, AM
31.47.192.0/21 #AS49800 GNC-ALFA GNC-Alfa CJSC, AM
37.186.64.0/18 #AS49800 GNC-ALFA GNC-Alfa CJSC, AM
45.146.36.0/22 #AS49800 GNC-ALFA GNC-Alfa CJSC, AM
46.19.96.0/21 #AS49800 GNC-ALFA GNC-Alfa CJSC, AM
62.89.0.0/19 #AS49800 GNC-ALFA GNC-Alfa CJSC, AM
78.109.64.0/20 #AS49800 GNC-ALFA GNC-Alfa CJSC, AM
93.185.32.0/20 #AS49800 GNC-ALFA GNC-Alfa CJSC, AM
130.193.120.0/21 #AS49800 GNC-ALFA GNC-Alfa CJSC, AM
185.8.0.0/22 #AS49800 GNC-ALFA GNC-Alfa CJSC, AM
195.250.64.0/19 #AS49800 GNC-ALFA GNC-Alfa CJSC, AM
206.62.192.0/19 #AS49800 GNC-ALFA GNC-Alfa CJSC, AM
