161.0.80.0/20 #AS27745 TELEFONIA-BONAIRIANO-NV Telefonia Bonairiano N.V., BQ
186.159.96.0/20 #AS27745 TELEFONIA-BONAIRIANO-NV Telefonia Bonairiano N.V., BQ
190.4.64.0/20 #AS27745 TELEFONIA-BONAIRIANO-NV Telefonia Bonairiano N.V., BQ
200.6.144.0/21 #AS27745 TELEFONIA-BONAIRIANO-NV Telefonia Bonairiano N.V., BQ
190.123.16.0/22 #AS52389 SSCS-BV SSCS BV, BQ
138.185.208.0/22 #AS28104 EUTEL-NV Eutel N.V., BQ
190.107.248.0/21 #AS28104 EUTEL-NV Eutel N.V., BQ
190.97.112.0/21 #AS262188 SATEL-NV Satel NV, BQ
143.0.32.0/22 #AS27694 FLAMINGO-TV-BONAIRE-NV Flamingo TV Bonaire N.V., BQ
200.71.248.0/21 #AS27694 FLAMINGO-TV-BONAIRE-NV Flamingo TV Bonaire N.V., BQ
200.107.84.0/22 #AS27694 FLAMINGO-TV-BONAIRE-NV Flamingo TV Bonaire N.V., BQ
204.157.80.0/20 #AS27694 FLAMINGO-TV-BONAIRE-NV Flamingo TV Bonaire N.V., BQ
