45.88.80.0/23 #AS786 JANET Jisc Services Limited, GB
46.254.200.0/21 #AS786 JANET Jisc Services Limited, GB
77.241.76.0/22 #AS786 JANET Jisc Services Limited, GB
81.87.0.0/16 #AS786 JANET Jisc Services Limited, GB
83.138.32.0/21 #AS786 JANET Jisc Services Limited, GB
92.245.224.0/19 #AS786 JANET Jisc Services Limited, GB
128.16.0.0/16 #AS786 JANET Jisc Services Limited, GB
128.40.0.0/16 #AS786 JANET Jisc Services Limited, GB
128.41.0.0/18 #AS786 JANET Jisc Services Limited, GB
128.86.0.0/16 #AS786 JANET Jisc Services Limited, GB
128.232.0.0/16 #AS786 JANET Jisc Services Limited, GB
128.240.0.0/16 #AS786 JANET Jisc Services Limited, GB
128.243.0.0/16 #AS786 JANET Jisc Services Limited, GB
129.11.0.0/16 #AS786 JANET Jisc Services Limited, GB
129.12.0.0/16 #AS786 JANET Jisc Services Limited, GB
129.31.0.0/16 #AS786 JANET Jisc Services Limited, GB
129.67.0.0/16 #AS786 JANET Jisc Services Limited, GB
129.169.0.0/16 #AS786 JANET Jisc Services Limited, GB
129.215.0.0/16 #AS786 JANET Jisc Services Limited, GB
129.234.0.0/16 #AS786 JANET Jisc Services Limited, GB
130.88.0.0/16 #AS786 JANET Jisc Services Limited, GB
130.159.0.0/16 #AS786 JANET Jisc Services Limited, GB
130.209.0.0/16 #AS786 JANET Jisc Services Limited, GB
130.246.0.0/16 #AS786 JANET Jisc Services Limited, GB
131.111.0.0/16 #AS786 JANET Jisc Services Limited, GB
131.227.0.0/16 #AS786 JANET Jisc Services Limited, GB
131.231.0.0/16 #AS786 JANET Jisc Services Limited, GB
131.251.0.0/16 #AS786 JANET Jisc Services Limited, GB
134.36.0.0/16 #AS786 JANET Jisc Services Limited, GB
134.83.0.0/16 #AS786 JANET Jisc Services Limited, GB
134.151.0.0/16 #AS786 JANET Jisc Services Limited, GB
134.219.0.0/16 #AS786 JANET Jisc Services Limited, GB
134.220.0.0/16 #AS786 JANET Jisc Services Limited, GB
134.225.0.0/16 #AS786 JANET Jisc Services Limited, GB
134.226.14.0/24 #AS786 JANET Jisc Services Limited, GB
136.148.32.0/19 #AS786 JANET Jisc Services Limited, GB
136.148.104.0/21 #AS786 JANET Jisc Services Limited, GB
136.148.112.0/20 #AS786 JANET Jisc Services Limited, GB
136.148.160.0/19 #AS786 JANET Jisc Services Limited, GB
136.148.224.0/19 #AS786 JANET Jisc Services Limited, GB
136.156.0.0/19 #AS786 JANET Jisc Services Limited, GB
136.156.88.0/22 #AS786 JANET Jisc Services Limited, GB
136.156.160.0/21 #AS786 JANET Jisc Services Limited, GB
136.156.176.0/21 #AS786 JANET Jisc Services Limited, GB
137.44.0.0/18 #AS786 JANET Jisc Services Limited, GB
137.50.0.0/16 #AS786 JANET Jisc Services Limited, GB
137.73.0.0/16 #AS786 JANET Jisc Services Limited, GB
137.108.0.0/16 #AS786 JANET Jisc Services Limited, GB
137.195.0.0/16 #AS786 JANET Jisc Services Limited, GB
137.222.0.0/16 #AS786 JANET Jisc Services Limited, GB
137.253.0.0/16 #AS786 JANET Jisc Services Limited, GB
138.38.0.0/16 #AS786 JANET Jisc Services Limited, GB
138.40.0.0/16 #AS786 JANET Jisc Services Limited, GB
138.250.0.0/15 #AS786 JANET Jisc Services Limited, GB
138.253.0.0/16 #AS786 JANET Jisc Services Limited, GB
139.133.0.0/16 #AS786 JANET Jisc Services Limited, GB
139.153.0.0/16 #AS786 JANET Jisc Services Limited, GB
