209.16.140.0/23 #AS1018 CONERIS, SI
88.200.0.0/17 #AS2107 ARNES-NET Academic and Research Network of Slovenia, SI
92.244.64.0/19 #AS2107 ARNES-NET Academic and Research Network of Slovenia, SI
95.87.128.0/18 #AS2107 ARNES-NET Academic and Research Network of Slovenia, SI
109.127.192.0/18 #AS2107 ARNES-NET Academic and Research Network of Slovenia, SI
141.255.192.0/18 #AS2107 ARNES-NET Academic and Research Network of Slovenia, SI
149.62.64.0/18 #AS2107 ARNES-NET Academic and Research Network of Slovenia, SI
153.5.0.0/16 #AS2107 ARNES-NET Academic and Research Network of Slovenia, SI
163.159.128.0/17 #AS2107 ARNES-NET Academic and Research Network of Slovenia, SI
164.8.128.0/20 #AS2107 ARNES-NET Academic and Research Network of Slovenia, SI
178.172.0.0/17 #AS2107 ARNES-NET Academic and Research Network of Slovenia, SI
185.13.52.0/22 #AS2107 ARNES-NET Academic and Research Network of Slovenia, SI
192.84.90.0/24 #AS2107 ARNES-NET Academic and Research Network of Slovenia, SI
192.84.95.0/24 #AS2107 ARNES-NET Academic and Research Network of Slovenia, SI
192.84.97.0/24 #AS2107 ARNES-NET Academic and Research Network of Slovenia, SI
192.84.99.0/24 #AS2107 ARNES-NET Academic and Research Network of Slovenia, SI
192.84.101.0/24 #AS2107 ARNES-NET Academic and Research Network of Slovenia, SI
192.84.104.0/24 #AS2107 ARNES-NET Academic and Research Network of Slovenia, SI
192.84.107.0/24 #AS2107 ARNES-NET Academic and Research Network of Slovenia, SI
192.84.109.0/24 #AS2107 ARNES-NET Academic and Research Network of Slovenia, SI
193.2.0.0/16 #AS2107 ARNES-NET Academic and Research Network of Slovenia, SI
193.138.1.0/24 #AS2107 ARNES-NET Academic and Research Network of Slovenia, SI
193.138.2.0/24 #AS2107 ARNES-NET Academic and Research Network of Slovenia, SI
194.249.0.0/16 #AS2107 ARNES-NET Academic and Research Network of Slovenia, SI
212.235.128.0/17 #AS2107 ARNES-NET Academic and Research Network of Slovenia, SI
31.15.128.0/17 #AS3212 TELEMACH Broadband Access & Carrier Services, SI
46.150.32.0/19 #AS3212 TELEMACH Broadband Access & Carrier Services, SI
46.182.224.0/21 #AS3212 TELEMACH Broadband Access & Carrier Services, SI
77.38.0.0/17 #AS3212 TELEMACH Broadband Access & Carrier Services, SI
77.73.104.0/22 #AS3212 TELEMACH Broadband Access & Carrier Services, SI
77.111.0.0/18 #AS3212 TELEMACH Broadband Access & Carrier Services, SI
78.153.32.0/19 #AS3212 TELEMACH Broadband Access & Carrier Services, SI
82.149.0.0/19 #AS3212 TELEMACH Broadband Access & Carrier Services, SI
82.192.32.0/19 #AS3212 TELEMACH Broadband Access & Carrier Services, SI
84.20.224.0/19 #AS3212 TELEMACH Broadband Access & Carrier Services, SI
84.52.128.0/18 #AS3212 TELEMACH Broadband Access & Carrier Services, SI
86.58.0.0/17 #AS3212 TELEMACH Broadband Access & Carrier Services, SI
87.119.128.0/19 #AS3212 TELEMACH Broadband Access & Carrier Services, SI
