185.164.76.0/24 #AS198065 CSCOVERSEAS CSCBank SAL, LB
185.99.220.0/24 #AS31587 AHN AHN s.a.r.l, LB
185.99.223.0/24 #AS31587 AHN AHN s.a.r.l, LB
185.190.28.0/23 #AS12812 ASN-AUBNET AMERICAN UNIVERSITY of BEIRUT, LB
193.188.128.0/22 #AS12812 ASN-AUBNET AMERICAN UNIVERSITY of BEIRUT, LB
31.170.96.0/23 #AS204122 ACSBEIRUT American Community School, LB
185.164.77.0/24 #AS34370 CSC CSCBank SAL, LB
185.164.79.0/24 #AS34370 CSC CSCBank SAL, LB
193.227.181.0/24 #AS34370 CSC CSCBank SAL, LB
185.61.48.0/23 #AS47719 SWITCHTEL-AS Switch Telecom s.a.r.l, LB
185.61.51.0/24 #AS47719 SWITCHTEL-AS Switch Telecom s.a.r.l, LB
194.146.153.0/24 #AS47719 SWITCHTEL-AS Switch Telecom s.a.r.l, LB
185.144.40.0/22 #AS47701 BAU-AS BEIRUT ARAB UNIVERSITY(BAU), LB
185.126.44.0/23 #AS57778 MICROSMARTLB Elie Achkar trading as Micro Smart System, LB
185.153.84.0/22 #AS60524 LAF1 Lebanese Armed Forces, LB
46.227.248.0/21 #AS41833 MOSCANET Moscanet SAL, LB
89.249.208.0/20 #AS41833 MOSCANET Moscanet SAL, LB
93.185.224.0/20 #AS41833 MOSCANET Moscanet SAL, LB
95.141.48.0/20 #AS41833 MOSCANET Moscanet SAL, LB
141.138.176.0/20 #AS41833 MOSCANET Moscanet SAL, LB
185.58.200.0/22 #AS41833 MOSCANET Moscanet SAL, LB
188.66.52.0/22 #AS210264 GEGATELECOM Gega Telecom SAL, LB
152.53.232.0/24 #AS203615 DATACONSULT DATA CONSULT SAL, LB
185.127.180.0/23 #AS203615 DATACONSULT DATA CONSULT SAL, LB
185.127.182.0/24 #AS203615 DATACONSULT DATA CONSULT SAL, LB
91.197.46.0/23 #AS57513 MIC1-ALFA-AS Mobile interim company 1 S.A.L., LB
