23.3.72.0/24 #AS27789 GREENDOT GREENDOT, TT
190.93.0.0/19 #AS27789 GREENDOT GREENDOT, TT
190.93.64.0/18 #AS27789 GREENDOT GREENDOT, TT
200.12.240.0/21 #AS27789 GREENDOT GREENDOT, TT
201.221.64.0/19 #AS27789 GREENDOT GREENDOT, TT
196.29.64.0/19 #AS11947 CABLENETT-LIMITED Cablenett Limited, TT
196.32.32.0/19 #AS11947 CABLENETT-LIMITED Cablenett Limited, TT
45.185.20.0/22 #AS263222 RVR-INTERNATIONAL-LIMITED RVR INTERNATIONAL LIMITED, TT
138.94.240.0/22 #AS263222 RVR-INTERNATIONAL-LIMITED RVR INTERNATIONAL LIMITED, TT
143.137.192.0/22 #AS263222 RVR-INTERNATIONAL-LIMITED RVR INTERNATIONAL LIMITED, TT
161.0.112.0/21 #AS263222 RVR-INTERNATIONAL-LIMITED RVR INTERNATIONAL LIMITED, TT
170.0.244.0/22 #AS263222 RVR-INTERNATIONAL-LIMITED RVR INTERNATIONAL LIMITED, TT
170.82.216.0/22 #AS263222 RVR-INTERNATIONAL-LIMITED RVR INTERNATIONAL LIMITED, TT
190.97.96.0/23 #AS26317 LISA-COMMUNICATIONS Lisa Communications Ltd, TT
200.3.176.0/21 #AS26317 LISA-COMMUNICATIONS Lisa Communications Ltd, TT
45.237.88.0/22 #AS61478 AIR-LINK-COMMUNICATIONS AIR LINK COMMUNICATIONS, TT
168.195.120.0/22 #AS61478 AIR-LINK-COMMUNICATIONS AIR LINK COMMUNICATIONS, TT
170.246.160.0/22 #AS61478 AIR-LINK-COMMUNICATIONS AIR LINK COMMUNICATIONS, TT
64.28.128.0/20 #AS28067 THE-UNIVERSITY-OF The University of the West IndiesSt Augustine Camp, TT
131.100.36.0/22 #AS27800 DIGICEL-TRINIDAD Digicel Trinidad and Tobago Ltd., TT
161.0.152.0/21 #AS27800 DIGICEL-TRINIDAD Digicel Trinidad and Tobago Ltd., TT
170.82.208.0/22 #AS27800 DIGICEL-TRINIDAD Digicel Trinidad and Tobago Ltd., TT
170.84.8.0/22 #AS27800 DIGICEL-TRINIDAD Digicel Trinidad and Tobago Ltd., TT
179.60.212.0/22 #AS27800 DIGICEL-TRINIDAD Digicel Trinidad and Tobago Ltd., TT
181.118.32.0/19 #AS27800 DIGICEL-TRINIDAD Digicel Trinidad and Tobago Ltd., TT
200.7.88.0/21 #AS27800 DIGICEL-TRINIDAD Digicel Trinidad and Tobago Ltd., TT
45.234.166.0/23 #AS266792 NOVO-COMMUNICATIONS-LIMITED NOVO COMMUNICATIONS LIMITED, TT
148.224.29.0/24 #AS274045 CARIBBEAN-LATIN-AMERICA CARIBBEAN LATIN AMERICA TECHNOLOGY LIMITED, TT
38.18.32.0/19 #AS27924 AMPLIA-COMMUNICATIONS AMPLIA COMMUNICATIONS LTD., TT
38.190.137.0/24 #AS27924 AMPLIA-COMMUNICATIONS AMPLIA COMMUNICATIONS LTD., TT
38.190.138.0/23 #AS27924 AMPLIA-COMMUNICATIONS AMPLIA COMMUNICATIONS LTD., TT
38.190.140.0/22 #AS27924 AMPLIA-COMMUNICATIONS AMPLIA COMMUNICATIONS LTD., TT
38.190.144.0/24 #AS27924 AMPLIA-COMMUNICATIONS AMPLIA COMMUNICATIONS LTD., TT
186.96.208.0/20 #AS27924 AMPLIA-COMMUNICATIONS AMPLIA COMMUNICATIONS LTD., TT
200.123.200.0/23 #AS27924 AMPLIA-COMMUNICATIONS AMPLIA COMMUNICATIONS LTD., TT
200.125.160.0/21 #AS27924 AMPLIA-COMMUNICATIONS AMPLIA COMMUNICATIONS LTD., TT
201.238.124.0/22 #AS27924 AMPLIA-COMMUNICATIONS AMPLIA COMMUNICATIONS LTD., TT
