186.44.0.0/15 #AS5639 Telecommunication Services of Trinidad and Tobago, TT
190.58.0.0/15 #AS5639 Telecommunication Services of Trinidad and Tobago, TT
196.3.132.0/22 #AS5639 Telecommunication Services of Trinidad and Tobago, TT
196.3.136.0/21 #AS5639 Telecommunication Services of Trinidad and Tobago, TT
196.3.144.0/22 #AS5639 Telecommunication Services of Trinidad and Tobago, TT
200.108.0.0/19 #AS5639 Telecommunication Services of Trinidad and Tobago, TT
201.238.64.0/19 #AS5639 Telecommunication Services of Trinidad and Tobago, TT
201.238.96.0/20 #AS5639 Telecommunication Services of Trinidad and Tobago, TT
201.238.112.0/21 #AS5639 Telecommunication Services of Trinidad and Tobago, TT
201.238.120.0/22 #AS5639 Telecommunication Services of Trinidad and Tobago, TT
209.94.192.0/19 #AS5639 Telecommunication Services of Trinidad and Tobago, TT
196.29.64.0/19 #AS11947 Cablenett Limited, TT
196.32.32.0/19 #AS11947 Cablenett Limited, TT
190.97.96.0/23 #AS26317 Lisa Communications Ltd, TT
200.3.176.0/21 #AS26317 Lisa Communications Ltd, TT
131.100.160.0/22 #AS27665 Columbus Communications Trinidad Limited., TT
138.59.24.0/22 #AS27665 Columbus Communications Trinidad Limited., TT
143.0.172.0/22 #AS27665 Columbus Communications Trinidad Limited., TT
161.0.224.0/19 #AS27665 Columbus Communications Trinidad Limited., TT
179.0.28.0/24 #AS27665 Columbus Communications Trinidad Limited., TT
181.188.0.0/17 #AS27665 Columbus Communications Trinidad Limited., TT
190.6.224.0/20 #AS27665 Columbus Communications Trinidad Limited., TT
190.83.128.0/17 #AS27665 Columbus Communications Trinidad Limited., TT
190.213.0.0/16 #AS27665 Columbus Communications Trinidad Limited., TT
200.1.104.0/21 #AS27665 Columbus Communications Trinidad Limited., TT
23.3.72.0/24 #AS27789 GREENDOT, TT
190.93.0.0/19 #AS27789 GREENDOT, TT
190.93.64.0/18 #AS27789 GREENDOT, TT
200.12.240.0/21 #AS27789 GREENDOT, TT
201.221.64.0/19 #AS27789 GREENDOT, TT
131.100.36.0/22 #AS27800 Digicel Trinidad and Tobago Ltd., TT
161.0.152.0/21 #AS27800 Digicel Trinidad and Tobago Ltd., TT
170.82.208.0/22 #AS27800 Digicel Trinidad and Tobago Ltd., TT
170.84.8.0/22 #AS27800 Digicel Trinidad and Tobago Ltd., TT
179.60.212.0/22 #AS27800 Digicel Trinidad and Tobago Ltd., TT
181.118.32.0/19 #AS27800 Digicel Trinidad and Tobago Ltd., TT
200.7.88.0/21 #AS27800 Digicel Trinidad and Tobago Ltd., TT
38.18.32.0/19 #AS27924 AMPLIA COMMUNICATIONS LTD., TT
38.190.137.0/24 #AS27924 AMPLIA COMMUNICATIONS LTD., TT
38.190.138.0/23 #AS27924 AMPLIA COMMUNICATIONS LTD., TT
38.190.140.0/22 #AS27924 AMPLIA COMMUNICATIONS LTD., TT
38.190.144.0/24 #AS27924 AMPLIA COMMUNICATIONS LTD., TT
186.96.208.0/20 #AS27924 AMPLIA COMMUNICATIONS LTD., TT
200.123.200.0/23 #AS27924 AMPLIA COMMUNICATIONS LTD., TT
200.125.160.0/21 #AS27924 AMPLIA COMMUNICATIONS LTD., TT
201.238.124.0/22 #AS27924 AMPLIA COMMUNICATIONS LTD., TT
64.28.128.0/20 #AS28067 The University of the West IndiesSt Augustine Camp, TT
45.237.88.0/22 #AS61478 AIR LINK COMMUNICATIONS, TT
168.195.120.0/22 #AS61478 AIR LINK COMMUNICATIONS, TT
170.246.160.0/22 #AS61478 AIR LINK COMMUNICATIONS, TT
