178.254.147.0/24 #AS202749 TELEGROUP Telegroup d.o.o. Beograd, RS
72.56.224.0/24 #AS210502 NOVINET-AS NOVINET DOO, RS
178.20.160.0/21 #AS50653 DELTA-MAXI Delhaize Serbia d.o.o, RS
45.129.143.0/24 #AS216024 KVMKA-COM ALEKSEI FEDOROV PR KRUSEVAC, RS
77.221.145.0/24 #AS216024 KVMKA-COM ALEKSEI FEDOROV PR KRUSEVAC, RS
109.107.171.0/24 #AS216024 KVMKA-COM ALEKSEI FEDOROV PR KRUSEVAC, RS
109.107.182.0/24 #AS216024 KVMKA-COM ALEKSEI FEDOROV PR KRUSEVAC, RS
146.255.188.0/24 #AS216024 KVMKA-COM ALEKSEI FEDOROV PR KRUSEVAC, RS
176.98.191.0/24 #AS216024 KVMKA-COM ALEKSEI FEDOROV PR KRUSEVAC, RS
185.142.33.0/24 #AS216024 KVMKA-COM ALEKSEI FEDOROV PR KRUSEVAC, RS
193.38.235.0/24 #AS216024 KVMKA-COM ALEKSEI FEDOROV PR KRUSEVAC, RS
193.124.203.0/24 #AS216024 KVMKA-COM ALEKSEI FEDOROV PR KRUSEVAC, RS
193.233.22.0/23 #AS216024 KVMKA-COM ALEKSEI FEDOROV PR KRUSEVAC, RS
194.87.189.0/24 #AS216024 KVMKA-COM ALEKSEI FEDOROV PR KRUSEVAC, RS
195.133.2.0/24 #AS216024 KVMKA-COM ALEKSEI FEDOROV PR KRUSEVAC, RS
195.133.26.0/24 #AS216024 KVMKA-COM ALEKSEI FEDOROV PR KRUSEVAC, RS
195.133.28.0/24 #AS216024 KVMKA-COM ALEKSEI FEDOROV PR KRUSEVAC, RS
217.65.79.0/24 #AS216024 KVMKA-COM ALEKSEI FEDOROV PR KRUSEVAC, RS
93.190.160.0/21 #AS47222 GRANDPROM-AS Atlantic Grand doo Simanovci, RS
185.7.32.0/24 #AS207604 UNITED United Internet Ltd., RS
185.119.88.0/22 #AS207604 UNITED United Internet Ltd., RS
185.241.212.0/24 #AS207604 UNITED United Internet Ltd., RS
185.241.214.0/24 #AS207604 UNITED United Internet Ltd., RS
88.218.139.0/24 #AS13004 SOX Serbian Open Exchange DOO, RS
91.245.214.0/24 #AS13004 SOX Serbian Open Exchange DOO, RS
188.120.127.0/24 #AS13004 SOX Serbian Open Exchange DOO, RS
193.105.163.0/24 #AS13004 SOX Serbian Open Exchange DOO, RS
194.79.40.0/22 #AS35796 NBS Narodna Banka Srbije, RS
91.232.236.0/23 #AS57550 OTP-BANKA-SRBIJA OTP Banka Srbija, RS
188.120.120.0/24 #AS211988 HEMOFARM Hemofarm AD Vrsac, RS
91.212.15.0/24 #AS43084 KNJAZMILOS Knjaz Milos AD, RS
80.240.144.0/20 #AS41507 IGT-SPORTSBETTING-SERBIA-AS IGT D&B d.o.o. Beograd, RS
176.122.208.0/23 #AS41507 IGT-SPORTSBETTING-SERBIA-AS IGT D&B d.o.o. Beograd, RS
192.54.54.0/23 #AS41507 IGT-SPORTSBETTING-SERBIA-AS IGT D&B d.o.o. Beograd, RS
100.43.78.0/24 #AS49714 TELETECH-OFFICE Edge Technology Plus d.o.o. Beograd, RS
109.245.31.0/24 #AS198691 SPACEADMINS SPACE Admins d.o.o., RS
178.20.206.0/23 #AS198691 SPACEADMINS SPACE Admins d.o.o., RS
91.185.96.0/19 #AS41937 MOJASUPERNOVA TELEKOM SRBIJA a.d., RS
91.204.52.0/22 #AS41937 MOJASUPERNOVA TELEKOM SRBIJA a.d., RS
185.166.124.0/22 #AS207068 UZZPPO Uprava za zajednicke poslove pokrajinskih organa, RS
143.14.169.0/24 #AS205949 STOLITOMSON-RS-AS Stolitomson Company DOO, RS
195.250.96.0/19 #AS8534 INFOSKY-AS Informatika a.d., RS
93.186.74.0/23 #AS200923 EWIRELESS SAMOSTALNA RADNJA ZA TELEKOMUNIKACIJE EWIRELESS IGOR STOJKOVIC PR INDIJA, RS
93.186.76.0/24 #AS200923 EWIRELESS SAMOSTALNA RADNJA ZA TELEKOMUNIKACIJE EWIRELESS IGOR STOJKOVIC PR INDIJA, RS
93.186.78.0/24 #AS200923 EWIRELESS SAMOSTALNA RADNJA ZA TELEKOMUNIKACIJE EWIRELESS IGOR STOJKOVIC PR INDIJA, RS
95.140.123.0/24 #AS200923 EWIRELESS SAMOSTALNA RADNJA ZA TELEKOMUNIKACIJE EWIRELESS IGOR STOJKOVIC PR INDIJA, RS
188.255.218.0/24 #AS200923 EWIRELESS SAMOSTALNA RADNJA ZA TELEKOMUNIKACIJE EWIRELESS IGOR STOJKOVIC PR INDIJA, RS
5.252.236.0/22 #AS209130 MSAT-INZENJERING MSAT Inzenjering DOO, RS
185.143.122.0/24 #AS209130 MSAT-INZENJERING MSAT Inzenjering DOO, RS
185.183.148.0/24 #AS209130 MSAT-INZENJERING MSAT Inzenjering DOO, RS
91.217.14.0/23 #AS51404 EULEX-AS EULEX Kosovo, RS
79.170.118.0/23 #AS43191 PROVIDUS-AS Providus d.o.o., RS
185.80.68.0/22 #AS43191 PROVIDUS-AS Providus d.o.o., RS
185.125.60.0/22 #AS203752 E-CAPS E-CAPS D.O.O, RS
193.247.67.0/24 #AS213142 COMING-KG-AS Coming Computer Engineering DOO, RS
78.109.96.0/24 #AS43277 VICTORY-MEDIA Victory media d.o.o, RS
78.109.104.0/21 #AS43277 VICTORY-MEDIA Victory media d.o.o, RS
91.212.69.0/24 #AS49167 COMUTEL-AS COMUTEL d.o.o., RS
195.88.216.0/23 #AS49167 COMUTEL-AS COMUTEL d.o.o., RS
94.198.8.0/21 #AS48177 IGT-SPORTSBETTING IGT D&B d.o.o. Beograd, RS
178.254.134.0/24 #AS47479 ORION-TELEKOM-AS Orion Telekom Tim d.o.o.Beograd, RS
185.222.72.0/22 #AS205313 INFOSTUD Infostud 3 doo Subotica, RS
109.94.108.0/24 #AS206580 HBIS-GROUP-SERBIA-IRON-AND-STEEL-BEOGRAD HBIS GROUP Serbia Iron & Steel d.o.o. Beograd, RS
109.94.126.0/24 #AS206580 HBIS-GROUP-SERBIA-IRON-AND-STEEL-BEOGRAD HBIS GROUP Serbia Iron & Steel d.o.o. Beograd, RS
185.93.100.0/22 #AS200855 AIKBANKAASN AikBank ad Beograd, RS
37.221.176.0/22 #AS198961 ORION-TELEKOM-MONTENEGRO Orion Telekom Tim d.o.o.Beograd, RS
37.221.181.0/24 #AS198961 ORION-TELEKOM-MONTENEGRO Orion Telekom Tim d.o.o.Beograd, RS
37.221.182.0/23 #AS198961 ORION-TELEKOM-MONTENEGRO Orion Telekom Tim d.o.o.Beograd, RS
178.254.171.0/24 #AS198961 ORION-TELEKOM-MONTENEGRO Orion Telekom Tim d.o.o.Beograd, RS
178.254.179.0/24 #AS198961 ORION-TELEKOM-MONTENEGRO Orion Telekom Tim d.o.o.Beograd, RS
188.255.131.0/24 #AS198961 ORION-TELEKOM-MONTENEGRO Orion Telekom Tim d.o.o.Beograd, RS
