65.182.7.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
65.182.8.0/23 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
65.182.11.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
65.182.13.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
65.182.30.0/23 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
161.0.192.0/19 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
186.32.128.0/19 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
186.32.224.0/20 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
186.32.240.0/21 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
190.53.48.0/20 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
190.53.64.0/19 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
190.53.192.0/19 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
190.53.232.0/21 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
190.53.240.0/20 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
190.99.0.0/20 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
190.99.16.0/21 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
190.181.192.0/18 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.12.224.0/23 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.12.227.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.12.228.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.12.231.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.12.233.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.12.235.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.12.236.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.12.238.0/23 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.30.133.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.30.139.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.30.140.0/22 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.30.144.0/22 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.30.148.0/23 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.30.154.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.30.159.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.30.160.0/23 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.30.162.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.30.166.0/23 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.30.169.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.30.172.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.30.174.0/23 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.30.176.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.30.180.0/23 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.30.183.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.30.184.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.30.186.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.30.188.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
200.30.190.0/23 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
205.211.192.0/20 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
205.211.218.0/23 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
205.211.220.0/22 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
205.211.224.0/23 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
205.211.233.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
205.211.234.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
205.211.240.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
205.211.242.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
205.211.244.0/22 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
205.211.248.0/21 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
208.96.140.0/22 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
209.124.96.0/23 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
209.124.103.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
209.124.104.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
209.124.110.0/23 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
209.124.112.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
209.124.117.0/24 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
209.124.120.0/22 #AS20299 NEWCOM-LIMITED Newcom Limited, GT
24.152.52.0/22 #AS269964 TV-CABLE-UNIVERSAL TV CABLE UNIVERSAL S.A, GT
190.89.32.0/24 #AS269951 BANCO-PROMERICA-SOCIEDAD Banco Promerica Sociedad Anónima, GT
205.161.188.0/24 #AS10586 OSI-GUATEMALA OSI de Guatemala, GT
181.189.153.0/24 #AS262206 COMCEL-GUATEMALA COMCEL GUATEMALA S.A., GT
181.189.155.0/24 #AS262206 COMCEL-GUATEMALA COMCEL GUATEMALA S.A., GT
181.189.156.0/24 #AS262206 COMCEL-GUATEMALA COMCEL GUATEMALA S.A., GT
181.189.158.0/24 #AS262206 COMCEL-GUATEMALA COMCEL GUATEMALA S.A., GT
186.189.217.0/24 #AS262206 COMCEL-GUATEMALA COMCEL GUATEMALA S.A., GT
190.106.192.0/24 #AS262206 COMCEL-GUATEMALA COMCEL GUATEMALA S.A., GT
200.30.158.0/24 #AS262206 COMCEL-GUATEMALA COMCEL GUATEMALA S.A., GT
200.30.173.0/24 #AS262206 COMCEL-GUATEMALA COMCEL GUATEMALA S.A., GT
200.94.248.0/24 #AS262206 COMCEL-GUATEMALA COMCEL GUATEMALA S.A., GT
201.222.60.0/22 #AS52454 SERVICIOS-TI Servicios de TI, GT
200.115.122.0/24 #AS272969 HOGARES-INTELIGENTES-S-A HOGARES INTELIGENTES S. A., GT
