185.37.100.0/24 #AS215329 RXTX SIA RXTX Baltija, LV
194.56.212.0/24 #AS215329 RXTX SIA RXTX Baltija, LV
87.110.249.0/24 #AS203355 BALCIA-ASN Balcia Insurance SE, LV
2.26.126.0/24 #AS198924 SUGAILO-AS Sugailo Raitis, LV
77.73.32.0/24 #AS205045 NBI NBI SIA, LV
185.116.209.0/24 #AS9029 HOMETVPRO-AS SIA HomeTV Pro, LV
185.116.211.0/24 #AS9029 HOMETVPRO-AS SIA HomeTV Pro, LV
78.28.197.0/24 #AS6747 LATTELEKOM SIA Tet, LV
80.232.180.0/23 #AS6747 LATTELEKOM SIA Tet, LV
81.198.93.0/24 #AS6747 LATTELEKOM SIA Tet, LV
91.200.64.0/22 #AS6747 LATTELEKOM SIA Tet, LV
195.13.180.0/24 #AS6747 LATTELEKOM SIA Tet, LV
91.216.1.0/24 #AS50893 LMLV-AS LR Labklajibas Ministrija, LV
89.106.85.0/24 #AS201861 GEODEMA-AS Aleksejs Pinajevs, LV
191.44.90.0/24 #AS201861 GEODEMA-AS Aleksejs Pinajevs, LV
139.28.252.0/22 #AS47485 STARNET-AS Starnet LTD, LV
212.70.186.0/24 #AS206362 LV-OSSNET-AS SIA OSS Networks, LV
5.45.44.0/22 #AS201547 LNB National Library of Latvia, LV
5.44.216.0/21 #AS43513 NANO-AS Sia Nano IT, LV
31.170.16.0/21 #AS43513 NANO-AS Sia Nano IT, LV
45.131.100.0/22 #AS43513 NANO-AS Sia Nano IT, LV
46.19.144.0/21 #AS43513 NANO-AS Sia Nano IT, LV
80.246.31.0/24 #AS43513 NANO-AS Sia Nano IT, LV
80.250.48.0/20 #AS43513 NANO-AS Sia Nano IT, LV
85.31.96.0/21 #AS43513 NANO-AS Sia Nano IT, LV
85.254.5.0/24 #AS43513 NANO-AS Sia Nano IT, LV
85.254.16.0/22 #AS43513 NANO-AS Sia Nano IT, LV
85.254.24.0/22 #AS43513 NANO-AS Sia Nano IT, LV
85.254.32.0/21 #AS43513 NANO-AS Sia Nano IT, LV
85.254.142.0/23 #AS43513 NANO-AS Sia Nano IT, LV
85.254.145.0/24 #AS43513 NANO-AS Sia Nano IT, LV
86.63.160.0/19 #AS43513 NANO-AS Sia Nano IT, LV
87.246.128.0/20 #AS43513 NANO-AS Sia Nano IT, LV
89.248.80.0/20 #AS43513 NANO-AS Sia Nano IT, LV
91.135.80.0/20 #AS43513 NANO-AS Sia Nano IT, LV
91.203.68.0/22 #AS43513 NANO-AS Sia Nano IT, LV
91.224.12.0/23 #AS43513 NANO-AS Sia Nano IT, LV
91.237.98.0/23 #AS43513 NANO-AS Sia Nano IT, LV
94.140.96.0/19 #AS43513 NANO-AS Sia Nano IT, LV
141.136.0.0/21 #AS43513 NANO-AS Sia Nano IT, LV
150.107.202.0/23 #AS43513 NANO-AS Sia Nano IT, LV
159.148.102.0/24 #AS43513 NANO-AS Sia Nano IT, LV
159.148.198.0/23 #AS43513 NANO-AS Sia Nano IT, LV
159.148.200.0/24 #AS43513 NANO-AS Sia Nano IT, LV
178.249.32.0/21 #AS43513 NANO-AS Sia Nano IT, LV
185.61.148.0/22 #AS43513 NANO-AS Sia Nano IT, LV
185.71.128.0/22 #AS43513 NANO-AS Sia Nano IT, LV
185.72.84.0/22 #AS43513 NANO-AS Sia Nano IT, LV
185.72.204.0/22 #AS43513 NANO-AS Sia Nano IT, LV
185.80.236.0/22 #AS43513 NANO-AS Sia Nano IT, LV
185.81.48.0/22 #AS43513 NANO-AS Sia Nano IT, LV
185.81.128.0/22 #AS43513 NANO-AS Sia Nano IT, LV
185.82.124.0/22 #AS43513 NANO-AS Sia Nano IT, LV
185.86.151.0/24 #AS43513 NANO-AS Sia Nano IT, LV
188.92.72.0/21 #AS43513 NANO-AS Sia Nano IT, LV
193.46.236.0/24 #AS43513 NANO-AS Sia Nano IT, LV
195.43.82.0/23 #AS43513 NANO-AS Sia Nano IT, LV
85.254.3.0/24 #AS41726 CREDITREFORM-ASN SIA B2 Impact, LV
213.175.119.0/24 #AS211838 AIZDEVUMS-LV SIA Aizdevums.lv, LV
203.8.165.0/24 #AS213601 SOFTTECH SIA SOFTTECH, LV
