200.115.185.0/24 #AS52406 DISTROCARD Distrocard S.A., AR
170.210.222.0/24 #AS52314 UNIVERSIDAD-NACIONAL-NOROESTE Universidad Nacional del Noroeste de Buenos Aires (UNNOBA), AR
200.14.116.0/24 #AS52314 UNIVERSIDAD-NACIONAL-NOROESTE Universidad Nacional del Noroeste de Buenos Aires (UNNOBA), AR
200.124.176.0/21 #AS52314 UNIVERSIDAD-NACIONAL-NOROESTE Universidad Nacional del Noroeste de Buenos Aires (UNNOBA), AR
177.22.254.0/23 #AS271848 API-CENTER-GROUP API CENTER GROUP S.A.S., AR
187.49.10.0/24 #AS271848 API-CENTER-GROUP API CENTER GROUP S.A.S., AR
168.232.88.0/23 #AS264697 LEWTEL LEWTEL SRL, AR
168.232.90.0/24 #AS264697 LEWTEL LEWTEL SRL, AR
45.227.130.0/24 #AS266778 ORTLIEB-JAN-ALBERT ORTLIEB JAN ALBERT (MIKROCOM), AR
170.233.208.0/22 #AS264748 COOPERATIVA-ELECTRICA-TECNIFICACION COOPERATIVA ELECTRICA Y TECNIFICACION AGROPECUARIA PARADA ROBLES ARROYO DE LA CRUZ LTDA, AR
138.121.124.0/22 #AS263755 COOP-OBRAS-SERVICIOS Coop. de Obras y Servicios Públicos Ltda. De Tancacha, AR
138.118.208.0/22 #AS52323 COLSECOR-COOPERATIVA-LIMITADA Colsecor Cooperativa Limitada, AR
181.16.128.0/23 #AS52323 COLSECOR-COOPERATIVA-LIMITADA Colsecor Cooperativa Limitada, AR
181.16.130.0/24 #AS52323 COLSECOR-COOPERATIVA-LIMITADA Colsecor Cooperativa Limitada, AR
181.16.132.0/22 #AS52323 COLSECOR-COOPERATIVA-LIMITADA Colsecor Cooperativa Limitada, AR
181.16.136.0/21 #AS52323 COLSECOR-COOPERATIVA-LIMITADA Colsecor Cooperativa Limitada, AR
181.16.144.0/23 #AS52323 COLSECOR-COOPERATIVA-LIMITADA Colsecor Cooperativa Limitada, AR
181.16.146.0/24 #AS52323 COLSECOR-COOPERATIVA-LIMITADA Colsecor Cooperativa Limitada, AR
181.16.148.0/22 #AS52323 COLSECOR-COOPERATIVA-LIMITADA Colsecor Cooperativa Limitada, AR
181.16.156.0/22 #AS52323 COLSECOR-COOPERATIVA-LIMITADA Colsecor Cooperativa Limitada, AR
181.16.160.0/19 #AS52323 COLSECOR-COOPERATIVA-LIMITADA Colsecor Cooperativa Limitada, AR
181.16.193.0/24 #AS52323 COLSECOR-COOPERATIVA-LIMITADA Colsecor Cooperativa Limitada, AR
181.16.194.0/23 #AS52323 COLSECOR-COOPERATIVA-LIMITADA Colsecor Cooperativa Limitada, AR
181.16.196.0/22 #AS52323 COLSECOR-COOPERATIVA-LIMITADA Colsecor Cooperativa Limitada, AR
181.16.200.0/23 #AS52323 COLSECOR-COOPERATIVA-LIMITADA Colsecor Cooperativa Limitada, AR
181.16.202.0/24 #AS52323 COLSECOR-COOPERATIVA-LIMITADA Colsecor Cooperativa Limitada, AR
181.16.204.0/22 #AS52323 COLSECOR-COOPERATIVA-LIMITADA Colsecor Cooperativa Limitada, AR
181.16.208.0/21 #AS52323 COLSECOR-COOPERATIVA-LIMITADA Colsecor Cooperativa Limitada, AR
181.16.224.0/19 #AS52323 COLSECOR-COOPERATIVA-LIMITADA Colsecor Cooperativa Limitada, AR
45.229.28.0/22 #AS270089 FIBRAS-OPTICAS-MAR-PLATA FIBRAS OPTICAS DE MAR DEL PLATA S.A., AR
170.80.92.0/22 #AS270089 FIBRAS-OPTICAS-MAR-PLATA FIBRAS OPTICAS DE MAR DEL PLATA S.A., AR
38.44.232.0/24 #AS265860 VIATEC VIATEC SRL, AR
45.71.106.0/24 #AS265860 VIATEC VIATEC SRL, AR
143.0.76.0/22 #AS11014 CPS CPS, AR
170.83.5.0/24 #AS11014 CPS CPS, AR
170.83.6.0/23 #AS11014 CPS CPS, AR
170.150.152.0/22 #AS11014 CPS CPS, AR
190.12.96.0/20 #AS11014 CPS CPS, AR
190.12.112.0/22 #AS11014 CPS CPS, AR
190.12.116.0/23 #AS11014 CPS CPS, AR
190.12.119.0/24 #AS11014 CPS CPS, AR
190.12.120.0/21 #AS11014 CPS CPS, AR
190.104.194.0/23 #AS11014 CPS CPS, AR
190.104.196.0/22 #AS11014 CPS CPS, AR
190.104.200.0/21 #AS11014 CPS CPS, AR
190.104.208.0/20 #AS11014 CPS CPS, AR
190.104.224.0/19 #AS11014 CPS CPS, AR
190.111.192.0/18 #AS11014 CPS CPS, AR
191.97.24.0/24 #AS11014 CPS CPS, AR
200.110.216.0/21 #AS11014 CPS CPS, AR
201.217.244.0/22 #AS52373 ECOM-CHACO ECOM CHACO S.A., AR
170.210.72.0/22 #AS61486 UNIVERSIDAD-NACIONAL-QUILMES Universidad Nacional de Quilmes, AR
207.248.74.0/23 #AS61486 UNIVERSIDAD-NACIONAL-QUILMES Universidad Nacional de Quilmes, AR
45.225.212.0/22 #AS265852 CARLOS-PAZ-TELEVISION CARLOS PAZ TELEVISION SA, AR
45.71.204.0/22 #AS28100 COOPERATIVA-SERVICIOS-PUBLICOS COOPERATIVA DE SERVICIOS PUBLICOS Y SOCIALES VILLA DEL ROSARIO LTDA, AR
45.177.68.0/22 #AS28100 COOPERATIVA-SERVICIOS-PUBLICOS COOPERATIVA DE SERVICIOS PUBLICOS Y SOCIALES VILLA DEL ROSARIO LTDA, AR
138.59.244.0/22 #AS28100 COOPERATIVA-SERVICIOS-PUBLICOS COOPERATIVA DE SERVICIOS PUBLICOS Y SOCIALES VILLA DEL ROSARIO LTDA, AR
